epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.708,4.5341,23.013,83.8077,-154.52893766596333
5,45.191,41.465,54.064,24.307,-28.59017296497627
10,62.2334,49.5298,56.342,22.6378,-15.759730744291279
15,64.8353,52.2241,57.836,21.6735,-11.763687597241915
20,65.9558,53.5695,58.627,21.0937,-9.68000041390273
25,66.8717,54.1036,59.66,20.5742,-7.986781776919074
30,67.6187,54.9439,60.527,19.9418,-6.14227372271028
35,67.674,54.9028,61.26,19.5493,-5.298340836405177
40,68.1092,55.5598,61.225,19.3486,-4.606059690374481
45,68.079,55.66,61.555,19.0351,-4.008383109095471
50,68.0471,56.3272,62.051,18.7717,-3.185591176398013
55,67.9233,56.3146,60.999,19.046,-4.040147844829074
60,68.4556,56.573,62.139,18.9978,-3.213684478232083
65,68.4647,56.6101,61.427,18.627,-2.964948376921527
70,68.5274,57.3174,62.569,18.2846,-1.7218535471382037
75,68.4536,57.4294,62.685,18.2497,-1.6090277107252855
80,68.3643,57.4297,62.593,18.2117,-1.626146034356794
85,68.629,57.3143,62.396,18.0846,-1.4764379307019972
90,68.7319,57.5809,62.009,18.3016,-1.78760532440045
95,68.6865,57.4927,62.56,18.004,-1.2051438025071712
100,68.736,57.8048,62.506,18.0655,-1.1679535741785494
105,68.7324,57.7373,62.622,18.0175,-1.0832515758230912
110,68.5924,57.9763,63.018,18.0858,-0.9750856654830161
115,68.7271,58.1574,62.722,17.7556,-0.5111828855215914
120,68.9278,57.7665,62.776,17.9029,-0.7776008543104616
125,68.5203,58.0564,62.395,17.8445,-0.8836708296486924
130,68.7988,58.22,63.304,17.4698,0.17172490664329865
135,68.1932,58.4014,63.033,17.6191,-0.2966794288935266
140,68.5709,58.2043,63.022,17.7049,-0.3595287760345025
145,68.6068,58.0945,62.827,17.5631,-0.27141376266181316
150,68.3702,58.7567,63.694,17.323,0.5895596994946285
155,68.502,58.5709,63.581,17.3634,0.46206757858895214
160,68.5949,58.7905,63.675,17.4045,0.5657837483801249
165,68.7472,58.6927,63.654,17.4774,0.47311524604254857
170,68.3104,58.5965,63.339,17.0734,0.7075499864179934
175,68.7038,58.6379,63.268,17.3618,0.4409022080389803
180,68.7129,58.8694,63.658,17.2192,0.8925009057787349
185,68.5424,58.778,63.86,17.0884,1.055148124247747
190,68.0989,58.7938,63.535,17.1507,0.6795733003370416
195,68.3066,58.7586,63.832,17.1942,0.8011898341161308
200,68.3424,58.7757,63.9,17.1425,0.9206001281518068
205,68.7741,58.9919,63.673,17.065,1.1852550100632222
210,68.3093,59.1024,64.153,16.9888,1.3554428106349212
215,68.3435,59.1473,63.909,16.921,1.3827785042214682
220,68.4308,59.0659,63.894,17.0175,1.2421257052684413
225,68.5415,59.0512,63.933,16.9212,1.426979313186688
230,68.4829,59.0411,64.095,16.9502,1.4257156523538201
235,68.3125,59.0741,63.85,16.8793,1.376054570020554
240,68.2945,59.1369,63.933,16.891,1.4117130839087857
245,68.2925,59.1367,64.069,16.8904,1.4662540093181788
250,68.37,59.1801,64.075,16.8898,1.515841843536861
255,68.3045,59.1243,64.024,16.8907,1.4472513130611324
260,68.2551,59.111,64.071,16.9104,1.414945545776776
265,68.3495,59.1752,64.031,16.8062,1.604901061523615
270,68.3156,59.1766,64.044,16.8063,1.597929874302378
275,68.3635,59.1522,64.039,16.8488,1.544766199747621
280,68.3359,59.1002,64.102,16.8264,1.5699321034099587
285,68.3767,59.1674,64.068,16.8668,1.5423983140854924
290,68.3193,59.187,64.031,16.8432,1.546956376694174
295,68.3125,59.1023,64.095,16.8487,1.5282451078869748
299,68.2713,59.1673,64.147,16.8469,1.562513523612663
