epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.0744,10.0417,24.449,84.6952,-153.57218352985913
5,41.3561,38.501,53.338,24.6944,-32.04319944083306
10,61.7732,49.9719,56.358,22.6139,-15.712777745667589
15,64.6002,52.1579,57.587,21.7072,-12.024584411953098
20,66.3963,53.4788,59.139,20.6955,-8.793490671371075
25,67.1677,54.7968,60.428,20.0806,-6.602207935783275
30,67.6029,54.8795,60.88,19.8041,-5.841038940419171
35,67.7108,55.5552,61.307,19.3734,-4.757731897230648
40,68.1127,55.9144,61.374,19.2161,-4.21753392703043
45,68.1393,56.3428,61.842,18.9633,-3.4953547448262166
50,68.2991,56.303,62.04,18.8516,-3.217192289455391
55,68.2207,56.8827,62.121,18.6539,-2.7048207235985613
60,68.7108,56.8578,62.273,18.5069,-2.2671168704565154
65,68.6245,57.069,62.415,18.4696,-2.105131509208801
70,68.5703,56.935,62.541,18.2466,-1.8186249920584918
75,68.5576,57.2343,62.507,18.57,-2.166076341845035
80,68.5092,57.2577,62.398,18.2775,-1.811410144340377
85,68.5018,57.4422,62.346,18.1685,-1.6088918753215338
90,68.8924,57.5367,62.336,18.0649,-1.285333606091768
95,68.8189,57.7519,62.645,18.1568,-1.2297556344033935
100,68.4344,57.5639,62.606,17.9257,-1.1427991034998477
105,68.5916,57.4847,62.618,18.1578,-1.4343849717222865
110,68.7164,57.4718,62.694,18.1636,-1.3707666689795135
115,68.5866,57.701,62.448,18.1158,-1.358661363883912
120,68.5199,57.545,62.719,18.0046,-1.1830829183560312
125,68.4374,57.7628,62.643,18.097,-1.2848691836419133
130,68.6498,57.7973,62.518,18.1193,-1.2730802864511837
135,68.8102,57.6769,62.661,17.8957,-0.893608185176255
140,68.7487,57.6915,62.609,18.0518,-1.1486080357645905
145,68.7779,57.7327,62.678,17.9362,-0.9326248816491048
150,68.6464,57.7117,62.727,17.8704,-0.878827435696745
155,68.6916,57.6997,62.496,17.898,-0.9978782627345164
160,68.6022,57.8101,62.638,17.834,-0.8405918644916841
165,68.614,57.7682,62.828,17.7605,-0.674680299657874
170,68.5287,57.7627,62.301,17.8753,-1.079647223669139
175,68.6351,57.7714,62.675,17.8424,-0.8408271173636086
180,68.3975,57.7823,62.628,17.7623,-0.8322161959246492
185,68.4636,57.8687,62.584,17.7267,-0.7408663449410108
190,68.5729,57.7138,62.679,17.7624,-0.7743151594779882
195,68.487,57.9634,62.751,17.7238,-0.6229384301594749
200,68.5593,57.8678,62.676,17.6995,-0.6309028986851756
205,68.5201,57.89,62.697,17.7296,-0.669977470517402
210,68.4249,57.7627,62.612,17.601,-0.6119500352968631
215,68.5271,57.9186,62.749,17.6414,-0.5122738506363005
220,68.4997,57.8663,62.753,17.7527,-0.6968158858825885
225,68.5004,57.8566,62.642,17.6621,-0.6189346299327073
230,68.4271,57.9012,62.711,17.652,-0.5864781237509391
235,68.3679,57.8737,62.816,17.6865,-0.6254955183488482
240,68.4512,57.8731,62.655,17.628,-0.5779220439186126
245,68.4294,57.8634,62.668,17.6254,-0.5811170178684831
250,68.5451,57.8483,62.804,17.6529,-0.5279031932089279
255,68.4168,57.8468,62.832,17.6575,-0.5714048787619703
260,68.4114,57.8411,62.621,17.5889,-0.5648807015503663
265,68.4507,57.8268,62.663,17.6313,-0.5981817716133119
270,68.4158,57.8711,62.7,17.5618,-0.4817558455087789
275,68.3698,57.8691,62.701,17.6172,-0.5763456946531961
280,68.2328,57.8776,62.833,17.6009,-0.5482703716558593
285,68.4117,57.9222,62.622,17.6177,-0.5716963508555762
290,68.4745,57.8788,62.714,17.6182,-0.5296635834546362
295,68.4957,57.8669,62.643,17.627,-0.5672926134961582
299,68.4878,57.8604,62.713,17.6089,-0.5196068758990104
0,2.2032,3.5636,20.566,77.5568,-147.3933356961592
5,46.4543,40.7218,53.685,24.2587,-28.505050750190854
10,62.1005,49.732,56.414,23.0135,-16.221348334648884
15,64.9852,52.1522,58.02,21.8642,-11.92848044913281
20,66.5331,53.3667,59.229,21.2892,-9.57773141647297
25,67.0053,54.3298,60.19,21.1079,-8.375751473642959
30,67.3752,54.7755,60.665,19.8595,-6.130998837824592
35,67.8484,55.7065,61.417,19.4655,-4.729496378071117
40,68.0876,56.1138,61.575,19.215,-4.0642524765109105
45,68.2325,56.2334,62.201,18.9183,-3.298300239344755
50,68.1845,55.6918,62.092,19.086,-3.811799067753404
55,68.3732,56.2542,62.247,18.7122,-2.932395554615455
60,68.1582,56.8355,62.185,18.6774,-2.7541543125928847
65,68.664,56.8734,62.338,18.4518,-2.1755094745360295
70,68.2596,56.9787,62.383,18.5022,-2.3354994061334415
75,68.7621,57.3062,62.539,18.4659,-1.903328585308993
80,68.9862,57.2786,62.45,18.1826,-1.4726686070623662
85,68.8056,57.3759,62.635,18.3514,-1.6612257033094415
90,68.6675,57.5173,62.771,18.2085,-1.4021795367997
95,68.7519,57.6266,62.601,18.2089,-1.3953830784183063
100,68.9459,57.7204,62.819,18.2483,-1.2527596606250506
105,69.0372,57.8166,62.605,18.0708,-1.0188313637776776
110,68.8463,57.8278,62.95,18.1624,-1.0744215250343634
115,68.958,57.9423,62.548,18.0996,-1.06047012108543
120,68.7241,57.5415,62.354,18.1152,-1.408758644959928
125,68.838,57.7033,62.687,18.0478,-1.0737879195343059
130,68.863,57.8275,62.64,17.9692,-0.9238477700620226
135,68.7729,57.7948,62.724,17.8977,-0.8374103404530764
140,68.7388,57.8738,62.655,17.8771,-0.8172111437916463
145,68.8047,57.6762,62.65,18.0485,-1.112923690614569
150,68.8636,58.0818,62.575,17.9311,-0.7940259059909159
155,68.5805,58.093,62.456,17.9282,-0.938488955425822
160,68.6436,58.0834,62.71,18.0248,-0.9514393133749832
165,68.6889,57.9914,62.7,17.8273,-0.7009739756410174
170,68.612,57.904,62.547,17.8036,-0.7932357337245579
175,68.767,58.0221,62.47,17.8016,-0.715997511454028
180,68.7279,58.0825,62.666,17.9844,-0.8818832417278051
185,68.6234,58.0192,62.59,17.8742,-0.8234690507642232
190,68.5084,58.0647,62.699,17.7929,-0.6910678445887398
195,68.603,58.0187,62.679,17.8199,-0.7200308315756375
200,68.6793,57.8919,62.565,17.7603,-0.7056301943591976
205,68.4702,58.0838,62.788,17.8371,-0.7233724505116744
210,68.6397,57.9885,62.567,17.7583,-0.67778016526495
215,68.591,58.1543,62.668,17.6496,-0.43724316790437706
220,68.6087,57.9986,62.617,17.6307,-0.4876678023414189
225,68.6353,57.9477,62.715,17.7279,-0.5942519028910863
230,68.5729,58.1533,62.702,17.6293,-0.4025052463951093
235,68.6333,58.1778,62.797,17.708,-0.44154476918478996
240,68.5778,58.1502,62.738,17.6708,-0.4452344847764371
245,68.5015,58.1277,62.789,17.7026,-0.50648983639173
250,68.6019,58.1829,62.748,17.6532,-0.39457478113141187
255,68.6017,58.1094,62.755,17.6541,-0.4227651213013854
