epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.4115,6.4856,27.23,66.6387,-144.27491549204788
5,48.7282,41.6552,55.294,23.9649,-36.499682104697406
10,66.8746,54.0258,59.262,22.1955,-21.604039774516327
15,69.0147,56.2726,61.124,21.5218,-18.28491818359462
20,70.3111,57.5382,62.621,20.5362,-15.243830926536084
25,71.1323,58.5677,63.373,19.3584,-12.413356265311773
30,71.6318,59.2451,63.977,19.1684,-11.465456574301587
35,71.8818,59.8894,63.827,18.9312,-10.814853429301602
40,72.1959,60.1121,64.358,18.4576,-9.669315361587055
45,72.3633,60.672,64.498,18.2635,-9.039323881361458
50,72.284,60.9524,65.184,17.9879,-8.261488098927966
55,72.6995,61.0555,64.949,18.0735,-8.31215262778016
60,72.7575,61.597,65.109,18.06,-8.008056355051925
65,72.594,61.7526,64.88,17.6006,-7.348017605822219
70,72.4551,61.8882,65.353,17.5326,-7.057343593394245
75,72.9283,61.8883,65.224,17.7296,-7.2680773312428615
80,72.6947,61.9361,65.586,17.4797,-6.789687700062523
85,73.072,62.3156,65.708,17.5321,-6.56280615587934
90,72.8542,62.239,65.573,17.4425,-6.5684563019223
95,72.7639,62.3555,65.275,17.3681,-6.544655538259608
100,72.9858,62.6032,66.011,17.267,-5.943384816989488
105,72.8426,62.669,65.667,17.3172,-6.173566297122351
110,72.6544,62.9589,66.072,17.1036,-5.631603903675813
115,72.7343,62.675,66.058,17.2911,-6.019631155327977
120,72.8364,62.7488,65.924,17.2575,-5.954126223869445
125,72.7561,62.7987,65.804,17.444,-6.306185599086884
130,72.8722,62.9192,65.96,17.2257,-5.813681804232429
135,72.6131,62.9407,65.816,17.0282,-5.625443080601363
140,72.7811,62.8757,66.078,17.0312,-5.502917791030019
145,72.6385,62.9284,66.14,17.0592,-5.5516012692032515
150,72.8284,63.0501,66.098,16.97,-5.315821843862823
155,72.6533,62.9203,66.225,16.96,-5.35863259304158
160,72.6299,63.063,66.314,16.9945,-5.335001777434623
165,72.6529,63.1439,66.225,16.9127,-5.198318960626268
170,72.5387,63.0787,66.021,16.9322,-5.367122496984831
175,72.5542,63.0072,66.023,16.929,-5.383136319698383
180,72.5031,63.0022,66.189,16.9419,-5.360900773166833
185,72.4888,62.9855,66.255,16.914,-5.302476888687386
190,72.6102,63.2827,66.042,16.8277,-5.090907555594125
195,72.6401,63.155,66.195,16.952,-5.272690184851249
200,72.6636,63.0718,66.314,16.9359,-5.226370419550183
