epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.4102,6.5394,26.951,66.0079,-140.4467927062838
5,35.2454,27.5367,47.709,24.0099,-42.11862217736283
10,47.83,29.4859,49.303,22.0635,-32.72555801845451
15,47.2645,30.6568,50.284,20.9989,-30.26432660672115
20,52.2885,34.468,52.58,20.0022,-24.00284227264174
25,51.3943,34.3104,53.613,19.2397,-22.77202864657795
30,54.9787,37.7211,54.339,19.1329,-19.306043504062263
35,56.0048,41.5641,55.351,18.9387,-16.32448798993021
40,55.5342,39.9624,55.739,18.524,-16.4599207999788
45,58.0585,41.6589,56.023,18.2001,-14.059965008782049
50,55.9132,40.5748,56.007,18.0238,-15.1125355048672
55,56.4662,40.8991,56.397,18.0711,-14.663633741162135
60,57.9539,42.8402,56.941,17.9863,-12.804529757404515
65,56.0325,41.2401,56.538,17.6865,-13.987597450020026
70,56.9525,42.5084,57.055,17.5429,-12.585204779275239
75,57.4722,42.0169,57.118,17.634,-12.750784344001287
80,59.6501,44.947,57.684,17.5191,-10.09550689287219
85,57.4408,42.6266,56.851,17.6769,-12.64335791265594
90,58.7127,43.021,57.309,17.54,-11.57106024904255
95,58.3739,43.6334,57.4,17.3598,-11.073816598248232
100,61.377,46.1209,58.743,17.2642,-8.038507756750777
105,60.3045,45.9603,58.05,17.2524,-8.782129280473557
110,59.6624,45.4487,58.017,17.1312,-9.090905364467725
115,59.1002,44.0102,57.69,17.2019,-10.248764601237907
120,59.8199,45.2505,57.966,17.1688,-9.20985003081417
125,59.8478,45.4938,58.113,17.417,-9.41611226303051
130,60.6888,46.9941,58.895,17.1378,-7.604833219451914
135,59.9971,46.3003,58.481,17.0393,-8.213767090192936
140,61.7426,47.3324,58.854,16.9936,-6.834607256277786
145,60.8197,47.0403,58.583,17.0147,-7.465606099933683
150,60.3097,45.9769,58.178,17.057,-8.407924544172783
155,60.7071,47.0148,58.591,16.948,-7.410313725159002
160,60.9866,46.511,58.839,16.8741,-7.332147920571009
165,61.7368,47.7541,59.072,16.9658,-6.497176748230604
170,61.4236,47.6253,59.118,16.8495,-6.472209635021986
175,61.9893,48.0526,59.107,16.8304,-6.027374277522932
180,61.2839,47.7648,58.905,16.9882,-6.764906156487934
185,61.7766,48.4151,59.236,16.9057,-5.996793429373217
190,61.4695,48.0597,59.251,16.7553,-6.038427511415313
195,62.1341,48.4334,59.211,16.8512,-5.778197642238101
200,61.1266,47.6795,59.019,16.924,-6.715810468702453
205,62.7013,48.9256,59.435,16.7935,-5.142986156115868
210,61.5423,47.9004,59.106,16.8172,-6.247323398571189
215,60.9755,47.291,58.936,16.767,-6.74529605244421
220,62.9841,49.5022,59.651,16.7606,-4.615301114918334
225,61.8598,47.8508,59.223,16.8022,-6.0813143991204015
230,61.9018,48.9334,59.456,16.7167,-5.305664791929375
235,63.2183,50.2322,59.777,16.7497,-4.102987537597946
240,61.8957,48.7751,59.406,16.7484,-5.456225842590088
245,61.8521,48.5866,59.216,16.7365,-5.623520460918721
250,61.9057,48.9311,59.569,16.7463,-5.306064826380151
255,62.1088,48.8063,59.218,16.7014,-5.364064992785926
260,61.6969,48.9759,59.515,16.7379,-5.370744047849695
265,61.92,49.4164,59.502,16.7636,-5.119235399888671
270,62.0289,48.9563,59.436,16.7189,-5.258924410455309
275,62.2566,49.3196,59.534,16.741,-4.991966291668887
280,62.07,49.0892,59.52,16.7445,-5.18510027677398
285,62.3058,49.2618,59.458,16.7094,-4.98270601556131
290,62.2439,49.1774,59.499,16.7306,-5.063841713566114
295,62.2909,49.1749,59.462,16.7031,-5.0189359741732
299,61.8088,48.9274,59.386,16.7033,-5.350622245099963

BEST(epoch 235),63.2183,50.2322,59.777,16.7497,-4.102987537597946
