epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,3.5037,6.1363,24.34,87.5144,-158.21089585181437
5,48.6306,44.1756,56.191,23.2109,-23.838781532321597
10,62.5246,51.7415,59.863,21.2083,-11.358071477413494
15,66.2121,54.0517,61.14,19.4929,-6.155346283413805
20,66.6975,55.4466,61.85,19.2511,-4.790620134266354
25,67.4515,56.0921,62.865,18.6035,-2.941656695009034
30,68.3512,57.2038,63.137,18.1031,-1.353001850862234
35,68.2114,57.5347,64.186,18.1462,-0.9107763911494583
40,68.4323,57.7668,64.085,17.9887,-0.5562960664755167
45,68.273,58.3277,64.151,17.4575,0.37634732691694234
50,68.1969,58.4502,64.224,17.7603,0.00550411734523428
55,68.4656,58.6317,64.774,17.4878,0.7783535803750142
60,68.6616,58.6757,64.519,17.4139,0.8695862376587534
65,68.1394,58.9675,64.655,17.4503,0.7970295118596319
70,68.2681,58.8276,64.783,17.1068,1.317629775094161
75,68.0682,59.294,64.903,17.2318,1.3057648986826522
80,67.4527,59.6161,64.959,17.4503,0.9253191846633878
85,68.2951,59.3334,64.836,17.1686,1.4671294392551768
90,68.1566,59.5723,65.088,16.995,1.8546074722892067
95,67.9814,59.6623,65.076,16.8025,2.088765849605307
100,67.8656,59.8907,64.982,17.0686,1.7300019832413984
105,67.9279,59.685,64.701,16.8198,1.903600351918469
110,67.7831,59.6934,65.362,16.9921,1.8784612671845176
115,67.8766,59.8322,64.996,16.944,1.8894361994022852
120,67.7412,59.5798,65.231,16.7653,2.080017375713213
125,67.7008,59.9326,65.142,16.878,2.0149339715686345
130,67.3472,59.75,64.991,16.8019,1.8550192565710215
135,67.5045,59.8223,65.284,16.8174,2.038634312201181
140,67.4249,59.8287,65.171,16.7596,2.046712241566081
145,67.187,60.2161,64.944,16.7413,2.049047842391124
150,67.3795,59.5996,64.853,16.9531,1.5406367456841166
155,67.3227,59.7933,65.098,16.6867,2.066555520586494
160,67.5171,59.9602,65.188,16.7134,2.2051820094604593
165,67.3353,60.0874,65.01,16.6632,2.187373769251462
170,67.1195,60.0358,65.158,16.5667,2.279866959035182
175,67.3933,60.0024,64.986,16.6856,2.1338488608480843
180,67.2698,60.0429,64.977,16.6723,2.1191542600970115
185,67.1963,60.0628,65.058,16.6837,2.1164660226597123
190,67.1046,59.7844,65.18,16.5429,2.21477099175756
195,67.0071,60.01,64.909,16.6751,1.9769962043341465
200,66.9862,59.8195,64.897,16.6152,1.9708425089772683
205,66.996,60.0031,65.041,16.4854,2.28692105212776
210,67.0159,59.8464,64.852,16.6666,1.903197633612742
215,67.0204,59.9201,64.98,16.5109,2.2025570178042058
220,66.8913,59.9463,65.237,16.4468,2.3573360659585023
225,66.9985,59.9129,65.114,16.5826,2.145483768088287
230,66.9351,59.9579,65.075,16.526,2.2031714571147223
235,66.9491,59.8922,65.098,16.495,2.234206703705079
240,66.96,59.9343,64.978,16.4521,2.2668234817649555
245,66.8819,59.9139,65.08,16.4688,2.247202630302518
250,66.7652,59.8741,65.042,16.4693,2.171795213091449
255,66.8568,59.9293,64.984,16.4628,2.213937781992819
260,66.977,59.9426,65.012,16.4119,2.3460567653806703
265,66.851,59.9424,65.046,16.4137,2.3102365483758023
270,66.8397,59.9183,65.063,16.4452,2.2592978996948068
275,66.94,59.9445,64.998,16.4118,2.3275865758864653
280,66.8681,59.9769,64.994,16.4442,2.267242352437453
285,66.9121,59.9609,64.991,16.4833,2.2215509564891343
290,66.8094,59.9198,65.021,16.488,2.172248676890957
295,66.8992,59.9189,65.062,16.4818,2.230353072531806
299,66.8241,59.9158,65.091,16.4991,2.1887268445673893

best: 220,66.8913,59.9463,65.237,16.4468,2.3573360659585023
