epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,0.9129,7.5973,20.148,81.4964,-151.89335980426927
5,25.1898,36.1364,53.481,24.4506,-38.61458454760322
10,56.3427,48.572,57.603,22.7105,-17.93305886572115
15,62.6537,51.9822,59.41,21.3155,-11.543657571799134
20,64.7704,53.3989,60.517,20.2668,-8.281591596625049
25,66.1773,54.3733,61.713,19.5128,-5.836400418125616
30,66.5984,55.4564,62.128,19.1479,-4.568485985829951
35,67.1877,55.5535,62.26,18.9591,-3.9945004793187766
40,67.4965,56.504,63.294,18.4898,-2.428448542002701
45,67.5725,56.3225,62.843,18.344,-2.451443083468871
50,67.6051,56.7761,63.292,18.2679,-1.9703039759845034
55,67.9977,57.2456,63.648,18.1636,-1.3468951282603336
60,68.3128,57.3313,63.841,18.0638,-0.9788641153301176
65,68.1454,57.6756,63.781,18.0027,-0.8411990245944235
70,68.2187,57.7764,64.262,17.9419,-0.4957943427979479
75,68.094,57.9685,64.023,18.0557,-0.7187809918892037
80,68.3623,58.0008,64.35,17.7753,-0.08473366261693206
85,68.2401,58.2665,64.084,17.7895,-0.14934113514189612
90,68.1799,58.2151,64.425,17.5702,0.2493370979908218
95,68.2522,58.1197,64.664,17.583,0.315741730197713
100,68.3303,58.5133,64.533,17.5542,0.49122225041132467
105,68.4041,58.5346,64.619,17.3835,0.7992338306188375
110,68.2186,58.3211,64.757,17.3623,0.7288740645233556
115,68.1516,58.6845,64.939,17.4956,0.7381772341077406
120,68.3938,58.6982,64.826,17.4147,0.9010383832886317
125,68.3783,58.6188,64.807,17.5149,0.7162032728598607
130,68.2743,58.8521,64.839,17.3991,0.9456300952979103
135,68.5886,58.5203,65.184,17.382,1.0907198806567269
140,68.4578,58.8672,64.614,17.3199,1.0399490187201839
145,68.4857,58.9618,64.714,17.1939,1.3039036003032063
150,68.5087,58.8819,65.126,17.192,1.4480444828068997
155,68.2796,58.995,64.857,17.1563,1.3502901444501774
160,68.2339,58.9386,65.039,17.0885,1.4778225585356715
165,68.5834,59.0007,65.06,17.0777,1.6563394103878688
170,68.1976,58.9415,65.116,17.2192,1.3145340487892616
175,68.2946,59.1955,65.275,16.985,1.8427239291051813
180,68.3573,59.1185,65.274,17.1179,1.649670421894631
185,68.4349,59.0018,65.06,17.021,1.6804276133610172
190,68.3116,59.2998,65.15,17.0297,1.7788441142593976
195,68.3774,59.1667,65.185,17.1221,1.6350757225080985
200,68.2489,59.1017,65.133,17.1155,1.5493704031894313
205,68.2939,59.2242,65.11,17.0652,1.6763155843738962
210,68.4068,59.2911,65.122,16.992,1.8519650623147317
215,68.3385,59.2676,65.087,17.0635,1.703568077703059
220,68.3726,59.2789,65.158,17.0118,1.8212075591496992
225,68.2572,59.3074,65.312,16.9241,1.9735444235165311
230,68.3583,59.3409,65.078,16.9554,1.887303790005154
235,68.3129,59.2835,65.217,17.0052,1.833696723724753
240,68.3268,59.2362,65.07,17.0242,1.734398543436553
245,68.3095,59.3353,65.282,16.9321,1.9811025599595478
250,68.3561,59.2598,65.222,16.9188,1.9624036531573545
255,68.2985,59.3323,65.244,16.9751,1.9007413690099002
260,68.2288,59.3213,65.282,16.9706,1.8918716720354758
265,68.2666,59.2981,65.235,16.916,1.9536813718238515
270,68.2687,59.3951,65.195,16.9686,1.9044036079856628
275,68.3125,59.3427,65.201,16.9706,1.8991662705454806
280,68.3016,59.347,65.124,17.0028,1.821176663610196
285,68.2816,59.2822,65.276,16.9577,1.9112684607206127
290,68.2901,59.3493,65.148,16.9425,1.9113404057682062
295,68.3403,59.3321,65.163,16.9511,1.9171199487635175
299,68.3427,59.3665,65.193,16.9395,1.9600661963510155

BEST(epoch 245),68.3095,59.3353,65.282,16.9321,1.9811025599595478
