epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.02,3.89,20.90,88.78,-162.810
5,26.42,36.94,53.87,24.59,-37.871
10,58.68,48.78,57.83,22.56,-16.679
15,63.18,52.01,59.93,20.94,-10.606
20,65.86,53.72,61.00,20.04,-7.237
25,67.32,54.55,60.41,19.71,-6.137
30,67.69,55.19,60.17,19.69,-5.809
35,68.59,56.21,60.18,19.44,-4.711
40,69.06,56.72,59.25,19.40,-4.647
45,69.29,57.03,59.05,18.94,-3.877
50,69.29,57.17,59.40,19.26,-4.125
55,69.56,57.67,59.36,18.56,-2.865
60,69.66,57.96,59.05,18.54,-2.807
65,69.57,58.09,58.97,18.38,-2.598
70,69.75,58.67,58.77,18.27,-2.224
75,69.95,58.69,59.06,18.33,-2.109
80,69.61,58.72,59.69,18.09,-1.637
85,69.67,58.82,59.49,18.19,-1.793
90,69.97,58.98,59.91,18.08,-1.296
95,69.90,59.22,59.04,18.07,-1.560
100,69.99,59.28,59.87,17.96,-1.016
105,70.08,59.61,59.55,17.89,-0.880
110,70.13,59.76,59.94,18.06,-0.881
115,69.78,59.73,59.29,17.95,-1.131
120,70.25,59.59,58.76,17.86,-1.100
125,70.02,59.63,59.18,17.77,-0.876
130,70.04,59.97,59.33,17.83,-0.755
135,69.99,59.88,60.20,17.72,-0.308
140,70.09,59.89,60.28,17.62,-0.095
145,70.08,60.12,58.92,17.59,-0.510
150,70.07,59.88,59.89,17.63,-0.277
155,70.03,60.48,60.69,17.60,0.313
160,70.05,60.27,59.52,17.84,-0.568
165,69.97,60.23,60.41,17.45,0.286
170,69.89,60.28,59.79,17.52,-0.070
175,69.92,60.15,59.73,17.61,-0.260
180,69.89,60.39,60.80,17.40,0.547
185,70.01,60.41,60.75,17.44,0.524
190,69.84,60.44,60.36,17.40,0.372
195,69.47,60.22,59.96,17.33,0.082
200,68.27,60.04,59.36,17.40,-0.775
205,29.03,45.43,58.64,22.07,-28.054
210,15.02,37.75,59.46,19.31,-32.197
215,11.56,32.16,59.54,22.34,-39.924
220,12.17,40.82,59.53,19.97,-32.908
225,15.27,38.35,60.10,18.79,-30.882
230,13.59,42.33,59.99,18.78,-29.930
235,16.25,40.77,59.68,18.79,-29.709
240,16.26,41.70,59.81,18.88,-29.403
245,16.21,41.76,59.95,18.84,-29.285
250,16.23,41.23,60.11,18.77,-29.330
255,16.84,39.96,59.94,18.86,-29.809
260,16.93,41.95,60.62,18.92,-28.783
265,16.33,41.65,60.62,18.96,-29.183
270,17.39,40.56,60.52,18.98,-29.297
275,18.44,41.07,60.63,19.08,-28.796
280,18.29,41.58,60.62,19.05,-28.608
285,15.89,41.32,60.72,19.06,-29.579
290,17.68,40.85,60.60,19.05,-29.137
295,17.29,39.97,60.66,19.03,-29.586
299,17.56,40.35,60.65,19.08,-29.406

BEST(epoch 180),69.89,60.39,60.80,17.40,0.547
