epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
0,0.8292,87.9449,3053.3107,-159120.20851558782
5,3.0103,53.8022,3052.8275,-159043.7065288618
10,1.9573,36.3773,3050.4617,-158896.06478689567
15,2.4268,34.7785,3050.0095,-158869.80758200964
20,3.2593,35.548,3050.1542,-158877.7780574389
25,5.4427,32.7239,3048.2497,-158772.696699115
30,8.4286,32.742,3047.2212,-158716.7067944413
35,9.8275,31.8161,3052.0198,-158964.14313167607
40,12.1971,31.274,3047.6408,-158733.34044530246
45,13.9178,30.4576,3049.3655,-158820.57284848194
50,14.6874,30.1746,3047.6015,-158727.6560895733
55,15.7589,30.4875,3046.966,-158694.13256298032
60,16.2735,30.244,3045.5379,-158618.9770189729
65,17.2451,29.9231,3043.5171,-158512.4646191334
70,18.0694,29.714,3045.2773,-158603.16233043882
75,18.9118,29.3715,3040.8432,-158371.03182209248
80,20.2226,29.1499,3041.0712,-158381.5103764728
85,20.7286,29.9787,3037.173,-158179.26693051978
90,21.5201,28.8432,3035.1916,-158073.77217588256
95,21.3897,29.0323,3039.2987,-158288.06497918998
100,23.3135,28.5395,3037.2519,-158179.1681450638
105,23.4689,28.5921,3039.3748,-158289.68475556967
110,24.6018,28.4734,3033.7694,-157996.6355979489
115,24.5133,28.5954,3036.9384,-158161.9372945272
120,25.8145,28.8921,3033.0955,-157961.14981979263
125,25.7335,28.1853,3029.8021,-157788.6593047799
130,26.2493,27.9743,3031.9023,-157897.31556472878
135,27.2009,28.0376,3034.0459,-158008.27293720536
140,27.7561,28.5335,3029.396,-157766.35501129166
145,28.1377,27.9569,3033.342,-157970.7261859172
150,28.516,27.8429,3027.556,-157668.89637697476
155,29.355,27.7385,3029.788,-157784.30688813582
160,29.3579,28.1062,3023.0324,-157432.983937989
165,29.5879,27.8759,3027.1355,-157646.16425706868
170,30.6051,27.6058,3023.8068,-157471.56839253267
175,29.9974,27.6851,3023.8804,-157476.01512248671
180,30.3826,27.6874,3027.7764,-157678.61925968155
185,30.1714,27.5348,3021.6022,-157356.99808048087
190,31.0871,27.5316,3018.3671,-157187.7477635672
195,31.1266,27.5446,3024.4524,-157504.6769467631
200,31.4688,27.9601,3015.9533,-157062.33784200682
205,31.0799,27.4978,3018.2721,-157182.75670147475
210,30.8039,27.4339,3015.0846,-157016.8746690906
215,31.3891,27.5113,3016.3806,-157084.00712070984
220,30.7764,27.543,3011.7779,-156844.83158343236
225,31.0423,27.456,3006.7123,-156580.65395828604
230,31.1044,28.0118,3009.3864,-156720.6856367237
235,31.3519,27.484,3009.5829,-156729.95113312328
240,31.4311,27.562,3008.3305,-156664.770212926
245,31.1076,27.438,3009.883,-156745.71491572316
250,31.0348,27.4416,3013.4309,-156930.5662948589
255,31.0309,27.3913,3011.746,-156842.74129079762
260,31.4284,27.4004,3008.4402,-156670.2514598353
265,31.1661,27.3896,3012.2612,-156869.46129203634
270,31.126,27.4369,3012.1775,-156865.20343962059
275,31.3635,27.4286,3012.5932,-156886.64768464374
280,31.1643,27.417,3012.3674,-156875.03378005952
285,31.2806,27.4487,3016.4547,-157087.86462347084
290,31.3348,27.3897,3014.1282,-156966.56268510313
295,31.3664,27.4119,3011.6384,-156836.8919054445
299,31.3001,27.4138,3013.3769,-156927.49590420775
0,0.8195,87.9576,3053.3105,-159120.2244828367
5,4.123,53.4194,3052.7773,-159039.62401522096
10,7.651,35.8852,3050.7124,-158903.7390780071
15,10.3817,34.4024,3049.185,-158819.79600608905
20,14.1744,33.5289,3048.1994,-158764.08503224095
25,15.8681,32.3594,3048.0455,-158752.98341815383
30,18.445,31.9148,3046.4969,-158669.5688996456
35,20.553,30.992,3045.4877,-158613.93868435375
40,22.0219,30.8982,3044.6447,-158568.69180473234
45,24.3116,30.037,3043.7107,-158516.91865257776
50,24.8896,30.4569,3042.5532,-158456.76757502792
55,27.165,30.0636,3041.3549,-158391.9195255868
60,28.1505,29.619,3040.1415,-158327.26830146156
65,29.0671,29.6213,3039.0514,-158269.74397796553
70,30.2549,29.0115,3037.3028,-158176.8121331963
75,31.2872,29.5659,3036.6801,-158144.3378747094
80,32.3263,29.2697,3034.6235,-158035.9413848374
85,31.3662,28.9427,3033.548,-157980.23851771202
90,32.6364,28.8629,3031.6668,-157881.10197340802
95,33.4012,28.5798,3030.9757,-157844.06921375523
100,33.5257,28.9695,3029.3359,-157759.12639297813
105,32.9539,28.668,3028.2797,-157704.14732979084
110,34.4588,28.5402,3027.6593,-157670.4153401558
115,35.4037,28.5927,3025.6383,-157564.45628407088
120,35.052,28.6514,3024.0478,-157481.99132286094
125,34.7281,28.4503,3022.9235,-157423.4078019272
130,35.5303,28.4273,3021.3239,-157339.4041144807
135,35.6958,27.9984,3020.4141,-157291.2605804201
140,36.2109,28.119,3018.3363,-157182.79445508
145,36.4501,28.0198,3017.2022,-157123.38664490072
150,36.5812,27.9975,3016.4695,-157085.0853224417
155,36.7534,27.8796,3014.6331,-156989.12719096665
160,36.6972,27.9635,3013.3889,-156924.49294510533
165,36.8862,28.2932,3012.736,-156890.81120537454
170,37.0696,27.8295,3011.6045,-156831.0556175141
175,37.115,27.6895,3010.9782,-156798.19543392854
180,37.1744,27.6505,3010.1429,-156754.58492154867
185,37.172,27.7507,3009.4054,-156716.32083828773
190,37.3962,27.6624,3008.4041,-156663.85781263138
195,37.3632,27.7581,3008.5592,-156672.1018746978
200,37.2299,27.7243,3007.7937,-156632.29234063937
205,37.4476,27.6183,3007.0989,-156595.77250102602
210,37.5776,27.5605,3006.2233,-156549.97785577195
215,37.7196,27.6626,3006.8698,-156583.68145387978
220,37.8285,27.5427,3005.6054,-156517.56399325407
225,37.9621,27.4685,3004.3691,-156452.9561384788
230,37.4843,27.5498,3005.4908,-156511.88779337073
235,37.6462,27.4509,3004.092,-156438.7573468424
240,37.6448,27.4924,3004.406,-156455.17288500044
245,37.7386,27.4128,3005.1172,-156492.02212191
250,37.7716,27.4654,3003.8493,-156426.03493475288
255,37.7179,27.4647,3003.4402,-156404.7706617088
260,37.7957,27.4661,3003.5451,-156410.172438373
265,37.7491,27.4159,3004.0419,-156436.01280211195
270,37.7107,27.4406,3003.4543,-156405.47596761447
275,37.7664,27.3893,3004.1588,-156442.0485565629
280,37.7487,27.382,3003.9014,-156428.64622718026
285,37.829,27.4178,3004.2411,-156446.32504067634
290,37.8854,27.387,3003.7679,-156421.58826290024
295,37.8236,27.3799,3003.3901,-156401.9515527795
299,37.8185,27.4026,3002.4409,-156352.55117633927
0,0.8195,87.9571,2.8016,-239.55188225260568
5,4.1985,53.3937,2.4975,-170.7852262460233
10,10.3958,36.1478,1.388,-82.89022959961858
15,17.149,32.7676,0.8325,-43.51501983899084
20,23.6351,31.0441,0.7941,-33.69527627629618
