epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.3966,6.0837,18.635,81.1139,-152.39897017448843
5,30.5391,38.107,55.07,24.0952,-34.697754486969636
10,59.5091,49.1588,58.419,22.272,-15.58114783122931
15,63.6408,52.2129,59.92,20.6469,-9.948706010298828
20,65.5841,53.9878,60.796,19.9018,-7.121533536268607
25,66.6964,54.8665,61.917,19.2227,-4.95883021211562
30,67.42,55.7427,62.705,19.1087,-3.861412077017741
35,67.6959,56.0747,62.711,18.5828,-2.890721862530377
40,68.0257,56.8268,63.245,18.451,-2.0669627213172914
45,68.2996,56.9853,63.571,18.6199,-2.0053582764855795
50,68.4227,57.3373,63.642,18.0443,-0.9882256444614888
55,68.2655,57.0469,64.028,17.8692,-0.7655563189061921
60,68.6278,57.6739,64.216,17.8871,-0.32720550004915716
65,68.8417,57.8691,64.382,17.7885,0.03489000615466736
70,68.5013,57.7798,64.521,17.7058,0.04300980554606394
75,68.6369,58.0462,64.43,17.7499,0.10314967623992069
80,68.2495,58.4944,64.72,17.6039,0.4593745530403079
85,68.5328,58.6751,64.527,17.6748,0.4616761353829318
90,68.565,58.7085,64.492,17.6413,0.5197082570379039
95,68.5028,58.5049,64.604,17.5326,0.6105142914685652
100,68.5755,58.959,64.858,17.3946,1.1146992729784355
105,68.462,58.8776,64.806,17.4366,0.9603404148569118
110,68.5534,58.9707,64.827,17.3909,1.1039194809223563
115,68.5588,59.1931,64.438,17.3427,1.1067887594604944
120,68.8051,59.1205,64.907,17.3195,1.3894246467795357
125,68.5068,59.2815,64.875,17.2179,1.471975084786363
130,68.6608,59.1975,65.164,17.0553,1.8374374328363727
135,68.5777,59.343,64.8,17.3501,1.309184251587615
140,68.6461,59.1301,64.946,17.1594,1.572526866970036
145,68.532,59.3263,64.634,17.3097,1.2750888531504654
150,68.668,59.326,65.198,17.079,1.872649787398675
155,68.6768,59.4442,64.938,16.9824,1.9537787227049193
160,68.4764,59.4402,64.937,17.0944,1.7214053076587326
165,68.4111,59.4311,65.153,17.1944,1.6409293671147476
170,68.282,59.465,64.918,17.0086,1.7708532681551143
175,68.3994,59.5243,64.885,17.0353,1.78808368418586
180,68.4935,59.4848,65.329,17.059,1.952196139817107
184,68.4935,59.4848,65.329,17.059,1.952196139817107
0,68.4543,59.5675,65.17,17.0058,1.9812586780420152
5,68.4083,59.465,65.334,17.0343,1.9488791705515651
10,68.4095,59.5094,65.254,17.1257,1.8080156381791588
15,68.3544,59.2851,65.147,17.0683,1.7339267459954382
20,68.1354,59.4488,65.027,17.0038,1.7601657388845737
25,68.1943,59.4624,65.15,17.4238,1.2525759358822373
30,68.2012,59.5069,64.982,17.0062,1.7867129608310823
35,67.9904,59.3935,65.286,16.9718,1.8322746018104408
40,68.1899,59.3334,64.833,17.2548,1.3068733782660915
45,68.0557,59.8259,65.248,16.7421,2.3354398661539295
50,68.2151,59.6107,65.441,16.7506,2.3734198244746447
55,68.1183,59.622,65.149,17.0393,1.8232522603213217
60,68.1035,59.644,65.562,16.9353,2.136911142758824
65,67.7549,59.8025,65.082,16.7237,2.173144081258242
70,67.7219,59.7835,65.137,16.9196,1.9027145366518097
75,67.8426,59.6425,65.499,16.913,2.0450223532130116
80,67.8287,59.6809,65.206,17.1886,1.5544546016935366
85,67.6636,59.5726,65.169,16.8561,1.8970648057157793
90,67.598,59.7387,65.176,16.7052,2.152455142904293
95,67.6865,59.5692,64.757,16.7096,1.9428258032295982
100,67.8916,59.5149,65.373,16.6811,2.2838388225715653
105,67.3197,59.5995,65.03,16.5878,2.0975311172347357
110,67.415,59.718,65.327,16.8242,1.9710203147658079
115,67.5745,59.6726,64.976,16.5641,2.233137457951319
119,67.5168,59.5025,65.257,16.7119,2.050058572311268

BEST(epoch 50),68.2151,59.6107,65.441,16.7506,2.3734198244746447
