epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.8224,5.0649,24.789,55.359,-114.35392294469993
5,52.2877,46.2595,56.97,22.9798,-21.00336594364552
10,63.7653,51.2172,60.042,20.8498,-10.537700296406486
15,66.2731,54.4034,61.513,19.8028,-6.272257681178711
20,67.4474,56.0037,62.947,18.9309,-3.4014696654351098
25,67.7988,56.5686,62.948,18.6129,-2.599915258364595
30,68.4131,56.8338,63.364,18.1667,-1.4768015435485862
35,68.8014,57.917,64.114,18.0638,-0.45122131765082246
40,68.4446,58.0406,64.152,17.7757,-0.11800115219271533
45,68.6015,57.9733,63.453,17.7437,-0.3225610835297176
50,68.9431,58.5958,65.421,17.5051,1.17683107339576
55,68.7585,58.9065,64.647,17.3147,1.1881306552677198
60,68.4778,58.5894,65.357,17.4137,1.1026653721525246
65,68.563,59.2592,65.175,17.2901,1.5037211193708322
70,68.6825,58.4346,64.998,17.1927,1.2798288107946338
75,68.7289,59.3817,64.781,17.2083,1.5707033085725581
80,68.7215,59.2228,65.042,17.1836,1.642819729292596
85,68.9099,59.4205,65.161,16.9707,2.1366090402741458
90,68.4978,59.5798,64.689,17.0721,1.71730465664948
95,68.6737,59.3945,65.06,16.8523,2.162476152545175
100,67.969,59.8693,64.82,17.0273,1.7523257143965485
105,68.1425,59.5364,64.789,16.8692,1.8899967299893856
110,68.2142,59.9602,64.97,17.0334,1.9318850155928429
115,67.7269,59.7204,65.053,16.8211,1.9824551829563497
120,67.9601,59.7385,64.695,16.9785,1.7139842856251246
125,67.6032,59.9269,65.229,16.8733,2.0177512616757145
130,67.647,59.689,64.886,16.8485,1.8349795086890233
135,67.5084,59.849,64.772,16.8271,1.832075871365038
140,67.5121,59.9136,64.791,16.8887,1.7814498821461608
145,67.5866,59.7684,64.94,16.7971,1.9377249647331631
150,67.6854,59.7131,65.142,16.7056,2.160441736156
155,67.7074,59.7445,64.649,16.7288,1.9513502095110262
160,67.3807,59.6984,64.41,16.731,1.7123277453015937
165,67.2956,59.7808,64.937,16.6705,2.009411786468032
170,67.5087,59.8151,64.721,16.7019,1.972232766224781
175,67.5249,59.5432,64.896,16.5369,2.168215287640287
180,67.3215,59.7735,64.879,16.7331,1.905753486280795
185,67.3582,59.8013,64.777,16.7388,1.8817990377555431
190,67.1357,59.7803,64.821,16.6095,1.9880842231451226
195,66.9383,59.837,65.013,16.6972,1.89252225478002
200,67.0252,59.7643,65.129,16.5675,2.1224499126251115
205,67.0937,59.7958,65.109,16.453,2.311919741942391
210,67.2226,59.8494,64.979,16.6011,2.123340867445057
215,67.0476,59.7991,64.834,16.4699,2.162328102245601
220,67.1461,59.8035,64.959,16.5347,2.1607132324772507
225,67.1834,59.8583,64.921,16.5453,2.166726038304234
230,67.0151,59.6514,65.015,16.4892,2.1363392305810733
235,67.007,59.7848,64.713,16.4414,2.132586512590072
240,66.9499,59.8848,64.949,16.5371,2.1132038120667254
245,66.9437,59.8169,64.847,16.4596,2.150408059584039
250,67.0107,59.7514,64.858,16.5143,2.0772003344079493
255,66.9518,59.7509,64.975,16.5293,2.0811340281922366
260,66.9701,59.7909,64.883,16.5429,2.0482793585905714
265,66.9668,59.7885,64.89,16.4885,2.1245714547750967
270,66.9269,59.7426,64.875,16.4823,2.0938119812801617
275,66.9268,59.8268,64.965,16.5074,2.128932071029181
280,66.9873,59.8102,64.919,16.4515,2.204059285342744
285,66.9824,59.8059,64.935,16.5025,2.13596462010245
290,66.9497,59.774,64.947,16.5035,2.11434414942892
295,66.9263,59.7644,64.905,16.4676,2.1348686791004936
299,67.0214,59.813,64.893,16.4852,2.1605650030463037

BEST(epoch 205),67.0937,59.7958,65.109,16.453,2.311919741942391
