epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.9885,3.8089,20.807,88.7761,-162.88591738626758
5,27.7411,37.4141,54.021,24.6573,-37.220840430635036
10,58.5729,48.6865,58.025,22.6955,-16.867199064154313
15,63.0282,52.218,59.835,21.0958,-10.8331099847277
20,65.3806,53.4429,60.867,20.0324,-7.570418592456302
25,66.3971,54.5801,61.916,19.2335,-5.201200778722522
30,67.1095,55.0836,62.22,19.1986,-4.562511090169918
35,67.9402,56.1556,63.309,18.6737,-2.6538774358107085
40,68.1054,56.3984,63.633,18.4856,-2.1028164281912094
45,68.0469,56.8571,62.898,18.22,-1.8646104114396318
50,68.0919,56.8807,63.547,18.3793,-1.7997397723943154
55,68.4697,57.3764,64.146,17.8336,-0.4597467387355682
60,68.2316,57.6938,64.03,17.8213,-0.44958367096979274
65,68.3394,57.8976,63.979,17.7871,-0.300084945069157
70,68.3823,58.0985,64.194,17.6057,0.13554407976991953
75,68.5444,58.1947,64.479,17.6239,0.32362861474938487
80,68.4542,58.1342,64.258,17.5729,0.24799324014252036
85,68.463,58.2582,64.345,17.6074,0.28821013781381455
90,68.484,58.6309,64.815,17.5387,0.7305018441958595
95,68.4431,58.5446,64.884,17.4576,0.8209439474320244
100,68.5337,58.8936,64.713,17.4718,0.9072094572576899
105,68.7558,58.9406,64.89,17.4432,1.1195555508834734
110,68.5967,58.8322,64.542,17.4439,0.8761075575087617
115,68.3845,58.9854,64.866,17.5976,0.7751030534208229
120,68.3678,58.8692,65.178,17.3964,1.1269945843526477
125,68.3792,58.9725,64.926,17.2313,1.3015811990612143
130,68.2942,59.102,65.045,17.238,1.360634068427216
135,68.3899,59.0825,65.2,17.1155,1.6209317441176798
140,68.4051,59.0415,65.003,17.1617,1.4667713554209634
145,68.2904,59.3242,64.906,17.1741,1.4820830370510536
150,68.3367,59.1116,64.863,17.169,1.4033362528490974
155,68.0719,59.5355,65.186,17.0707,1.742226155403974
160,68.1027,59.4112,65.112,17.226,1.457779417745599
165,68.3499,59.3465,65.24,17.0477,1.822987307395111
170,68.164,59.3396,65.2,17.015,1.7805069634481003
175,68.2227,59.3843,65.156,17.178,1.575976903092922
180,68.3133,59.5296,65.285,16.9054,2.099299499306706
185,68.2718,59.5463,65.305,16.9398,2.050765996502688
190,68.1579,59.5467,65.228,16.9324,1.987981100041896
195,68.1103,59.5472,65.069,16.8739,1.988109877793699
200,68.2028,59.4682,65.212,16.8713,2.051580865513139
205,68.1759,59.4986,65.258,16.7587,2.228941072342222
210,68.2686,59.559,65.212,16.873,2.110345624221115
215,68.1002,59.5703,65.128,16.7914,2.132109441419207
220,68.0937,59.4763,65.28,16.9404,1.945401921700083
225,68.0361,59.487,65.201,16.8841,1.9749448950695168
230,68.1041,59.5183,65.041,16.936,1.8765163411637138
235,68.1504,59.4849,65.186,16.9642,1.8991629975501376
240,68.0845,59.5489,65.325,16.816,2.162396619720306
245,68.1352,59.4645,65.288,16.8237,2.121636791753895
250,68.0174,59.4799,65.322,16.8158,2.108658862093456
255,68.0804,59.5629,65.168,16.8548,2.0495931548667143
260,68.0536,59.5441,65.308,16.7993,2.1653819299582198
265,68.0533,59.5512,65.168,16.8524,2.038128633404711
270,68.0303,59.5247,65.23,16.7848,2.1377810919286038
275,68.0781,59.5749,65.152,16.8648,2.0332543336927427
280,67.962,59.5525,65.249,16.9223,1.9399252373804916
285,68.0651,59.5535,65.222,16.8102,2.1238072529149865
290,68.0318,59.5397,65.179,16.8527,2.029482196588439
295,67.9917,59.5454,65.223,16.8164,2.085010422787202
299,68.0332,59.5744,65.211,16.781,2.156591079657697
0,2.0181,3.8909,20.896,88.8015,-162.84145625739055
5,27.0935,37.0397,54.088,24.5432,-37.42726432721347
10,58.5983,48.7842,57.875,22.5441,-16.667826895982685
15,63.0936,52.0102,59.936,20.9365,-10.630551720248985
