epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.02,3.89,20.90,88.79,-162.824
5,27.54,37.27,54.19,24.44,-36.984
10,58.64,48.78,57.88,22.55,-16.660
15,63.14,51.95,59.94,20.96,-10.669
20,64.92,53.66,60.77,20.18,-7.898
25,66.70,54.52,61.91,19.17,-5.027
30,66.93,55.41,62.30,19.05,-4.259
35,67.92,56.31,63.36,18.61,-2.490
40,68.20,56.60,63.58,18.59,-2.153
45,68.17,56.99,63.23,18.18,-1.576
50,68.18,57.06,63.84,18.50,-1.745
55,68.37,57.56,63.96,17.86,-0.534
60,68.43,57.65,64.40,17.79,-0.202
65,68.46,57.78,63.85,17.76,-0.317
70,68.53,58.26,64.15,17.73,0.065
75,68.51,58.24,64.42,17.78,0.088
80,68.23,58.38,64.66,17.54,0.471
85,68.47,58.33,64.36,17.57,0.378
90,68.55,58.33,64.85,17.54,0.646
95,68.33,58.73,65.04,17.45,0.927
100,68.58,58.89,65.03,17.47,1.053
105,68.54,59.06,64.89,17.30,1.287
110,68.49,59.02,65.10,17.54,1.002
115,68.37,59.04,65.03,17.53,0.952
120,68.62,58.88,65.15,17.27,1.390
125,68.39,58.99,64.82,17.30,1.175
130,68.53,59.17,65.19,17.27,1.489
135,68.65,59.06,65.13,17.20,1.563
140,68.57,58.92,65.04,17.08,1.608
145,68.55,59.31,65.20,17.07,1.836
150,68.67,59.18,65.12,17.11,1.740
155,68.49,59.65,65.33,17.14,1.905
160,68.38,59.47,65.13,17.34,1.433
165,68.58,59.45,65.36,16.95,2.134
170,68.38,59.38,65.42,17.00,1.986
175,68.47,59.19,65.07,17.18,1.552
180,68.35,59.51,65.41,16.94,2.107
185,68.43,59.60,65.27,17.03,1.992
190,68.27,59.46,65.24,16.95,1.975
195,68.34,59.45,65.49,16.85,2.236
200,68.50,59.47,65.58,16.87,2.312
205,68.39,59.58,65.39,16.79,2.351
210,68.59,59.57,65.34,16.95,2.179
215,68.44,59.64,65.25,16.83,2.282
220,68.49,59.53,65.39,16.94,2.159
225,68.39,59.63,65.31,16.91,2.172
230,68.48,59.61,65.37,16.94,2.180
235,68.47,59.44,65.34,17.00,2.012
240,68.38,59.61,65.50,16.84,2.334
245,68.39,59.55,65.31,16.85,2.223
250,68.39,59.60,65.38,16.85,2.271
255,68.40,59.59,65.37,16.87,2.239
260,68.33,59.56,65.53,16.86,2.279
265,68.34,59.57,65.35,16.88,2.187
270,68.31,59.62,65.39,16.80,2.323
275,68.37,59.62,65.35,16.88,2.218
280,68.34,59.64,65.45,16.93,2.186
285,68.41,59.60,65.39,16.85,2.283
290,68.39,59.57,65.35,16.87,2.219
295,68.33,59.60,65.37,16.85,2.245
299,68.40,59.62,65.45,16.81,2.367

BEST(epoch 299),68.40,59.62,65.45,16.81,2.367
