epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.96,4.04,19.57,88.37,-162.734
5,19.51,31.33,52.02,25.02,-44.046
10,51.28,47.13,56.11,22.87,-21.219
15,61.60,50.32,57.63,21.83,-14.036
20,63.70,52.71,58.86,20.56,-10.030
25,65.03,53.80,59.73,19.96,-7.912
30,66.13,54.43,60.36,19.29,-6.064
35,66.84,54.94,60.89,19.12,-5.145
40,67.19,55.62,60.95,18.88,-4.382
45,67.24,56.07,61.06,18.83,-4.068
50,67.63,56.39,61.45,18.49,-3.164
55,68.25,56.52,62.14,18.43,-2.521
60,67.94,57.09,61.98,18.31,-2.304
65,68.16,57.20,61.76,18.36,-2.335
70,68.27,57.48,62.31,18.02,-1.488
75,68.26,57.71,62.23,18.03,-1.445
80,68.32,57.80,62.58,17.91,-1.079
85,68.29,57.81,62.35,17.75,-0.955
90,68.46,57.87,62.99,17.85,-0.750
95,68.36,58.02,63.27,17.78,-0.517
100,68.40,58.23,63.00,17.74,-0.470
105,68.57,58.16,63.13,17.68,-0.300
110,68.58,58.36,63.66,17.59,0.122
115,68.55,58.58,63.32,17.56,0.105
120,68.54,58.52,63.32,17.51,0.147
125,68.52,58.56,63.53,17.49,0.268
130,68.60,58.47,63.54,17.55,0.182
135,68.63,58.61,63.24,17.42,0.310
140,68.48,58.80,63.67,17.51,0.378
145,68.56,58.84,63.71,17.31,0.718
150,68.57,58.83,63.57,17.34,0.620
155,68.61,58.92,63.53,17.50,0.433
160,68.61,58.97,63.71,17.37,0.706
165,68.70,59.09,63.77,17.30,0.909
170,68.50,58.97,63.65,17.27,0.780
175,68.52,59.06,63.48,17.41,0.561
180,68.55,59.04,63.87,17.37,0.776
185,68.59,59.06,63.90,17.37,0.811
190,68.64,59.10,63.82,17.40,0.772
195,68.61,59.06,63.74,17.27,0.893
200,68.55,59.06,63.86,17.19,1.030
205,68.49,59.21,63.73,17.05,1.211
210,68.62,59.09,63.77,17.20,1.019
215,68.55,59.22,63.86,17.18,1.109
220,68.52,59.15,63.81,17.19,1.036
225,68.50,59.22,63.84,17.13,1.152
230,68.60,59.21,63.81,17.24,1.020
235,68.55,59.18,63.77,17.23,0.987
240,68.48,59.14,63.93,17.10,1.190
245,68.58,59.09,64.01,17.26,1.016
250,68.50,59.10,63.95,17.27,0.953
255,68.53,59.24,63.82,17.13,1.163
260,68.55,59.24,63.95,17.14,1.209
265,68.54,59.22,63.82,17.14,1.145
270,68.51,59.22,63.82,17.13,1.148
275,68.61,59.23,63.71,17.17,1.089
280,68.50,59.22,63.89,17.18,1.102
285,68.56,59.21,63.79,17.15,1.122
290,68.46,59.19,63.78,17.11,1.129
295,68.49,59.22,63.86,17.09,1.212
299,68.61,59.24,63.88,17.07,1.300

BEST(epoch 299),68.61,59.24,63.88,17.07,1.300
