epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.02,3.89,20.90,88.77,-162.796
5,26.79,37.15,54.05,24.52,-37.479
10,58.55,48.76,57.88,22.53,-16.674
15,63.12,51.97,59.92,20.95,-10.662
20,64.92,53.65,60.79,20.17,-7.880
25,66.73,54.47,61.93,19.17,-5.028
30,66.92,55.40,62.33,19.07,-4.282
35,67.97,56.28,63.39,18.61,-2.471
40,68.20,56.56,63.57,18.60,-2.187
45,68.16,57.00,63.24,18.18,-1.572
50,68.18,57.07,63.90,18.52,-1.745
55,68.38,57.55,63.93,17.87,-0.560
60,68.46,57.68,64.44,17.80,-0.176
65,68.45,57.76,63.87,17.76,-0.320
70,68.52,58.25,64.14,17.74,0.039
75,68.52,58.25,64.45,17.78,0.108
80,68.21,58.39,64.70,17.55,0.470
85,68.46,58.31,64.35,17.58,0.348
90,68.52,58.31,64.87,17.56,0.607
95,68.33,58.74,65.04,17.47,0.903
100,68.56,58.85,65.06,17.48,1.027
105,68.51,59.06,64.93,17.31,1.278
110,68.46,59.02,65.09,17.56,0.959
115,68.37,59.03,65.04,17.53,0.952
120,68.59,58.85,65.17,17.27,1.375
125,68.41,58.99,64.86,17.32,1.170
130,68.50,59.12,65.22,17.30,1.428
135,68.61,59.08,65.16,17.22,1.540
140,68.54,58.93,65.07,17.10,1.585
145,68.51,59.30,65.22,17.07,1.825
150,68.65,59.15,65.17,17.13,1.713
155,68.48,59.61,65.38,17.15,1.892
160,68.35,59.44,65.15,17.33,1.432
165,68.57,59.45,65.40,16.96,2.133
170,68.34,59.35,65.47,17.01,1.965
175,68.43,59.18,65.10,17.17,1.559
180,68.36,59.51,65.44,16.96,2.095
185,68.44,59.58,65.31,17.04,1.990
190,68.26,59.46,65.26,16.96,1.965
195,68.32,59.44,65.50,16.86,2.215
200,68.48,59.46,65.58,16.88,2.287
205,68.38,59.54,65.41,16.79,2.339
210,68.56,59.55,65.38,16.95,2.175
215,68.44,59.63,65.26,16.84,2.268
220,68.49,59.52,65.41,16.95,2.149
225,68.39,59.63,65.31,16.92,2.158
230,68.46,59.59,65.38,16.95,2.154
235,68.47,59.43,65.35,17.00,2.012
240,68.39,59.59,65.50,16.85,2.315
245,68.38,59.53,65.33,16.86,2.205
250,68.39,59.57,65.39,16.85,2.263
255,68.41,59.57,65.39,16.88,2.229
260,68.34,59.55,65.54,16.87,2.269
265,68.35,59.56,65.37,16.88,2.195
270,68.31,59.60,65.39,16.80,2.315
275,68.36,59.60,65.36,16.88,2.210
280,68.34,59.62,65.46,16.94,2.168
285,68.41,59.58,65.40,16.86,2.265
290,68.38,59.55,65.36,16.87,2.212
295,68.33,59.58,65.37,16.86,2.223
299,68.39,59.60,65.46,16.81,2.359

BEST(epoch 299),68.39,59.60,65.46,16.81,2.359
