epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.99,3.71,20.95,88.81,-162.915
5,26.58,37.58,54.34,24.32,-36.989
10,58.70,49.00,57.94,22.64,-16.650
15,62.73,51.84,59.83,21.02,-10.993
20,65.09,53.64,61.03,20.11,-7.642
25,66.22,54.67,62.00,19.21,-5.164
30,67.11,55.49,62.51,19.11,-4.159
35,67.74,56.11,63.33,18.63,-2.678
40,67.94,56.51,63.53,18.63,-2.361
45,68.18,57.03,63.45,18.24,-1.552
50,68.17,57.05,63.99,18.35,-1.484
55,68.56,57.34,64.10,17.94,-0.607
60,68.49,57.48,64.20,17.84,-0.398
65,68.32,58.11,63.93,17.75,-0.190
70,68.65,58.36,64.49,17.56,0.523
75,68.70,58.28,64.50,17.70,0.318
80,68.32,58.41,64.53,17.62,0.353
85,68.30,58.43,64.42,17.55,0.407
90,68.49,58.82,65.18,17.49,1.023
95,68.40,58.72,64.70,17.47,0.785
100,68.49,59.02,65.07,17.54,0.990
105,68.84,58.97,64.95,17.32,1.358
110,68.49,59.15,64.90,17.50,1.030
115,68.40,59.16,65.06,17.52,1.037
120,68.42,59.10,65.27,17.56,1.049
125,68.36,59.04,65.10,17.17,1.477
130,68.59,59.28,65.16,17.29,1.516
135,68.41,59.27,65.13,17.15,1.628
140,68.40,59.16,65.13,17.08,1.677
145,68.42,59.27,65.36,17.09,1.807
150,68.43,59.24,65.03,17.14,1.597
155,68.25,59.48,65.29,17.14,1.731
160,68.32,59.52,65.14,17.18,1.658
165,68.39,59.44,65.25,16.97,1.988
170,68.20,59.31,65.38,17.03,1.833
175,68.30,59.39,65.24,17.07,1.791
180,68.48,59.60,65.24,16.88,2.207
185,68.30,59.60,65.31,17.00,2.001
190,68.21,59.60,65.37,17.03,1.950
195,68.19,59.59,65.28,16.89,2.097
200,68.31,59.56,65.53,16.88,2.244
205,68.34,59.51,65.52,16.76,2.398
210,68.35,59.57,65.45,16.93,2.161
215,68.34,59.67,65.24,16.82,2.267
220,68.36,59.63,65.33,16.99,2.058
225,68.23,59.51,65.35,16.89,2.108
230,68.14,59.61,65.30,16.96,1.997
235,68.32,59.58,65.31,16.94,2.084
240,68.18,59.62,65.43,16.82,2.263
245,68.23,59.56,65.41,16.86,2.194
250,68.14,59.60,65.40,16.86,2.173
255,68.15,59.59,65.33,16.88,2.116
260,68.19,59.63,65.45,16.85,2.237
265,68.17,59.56,65.32,16.89,2.094
270,68.22,59.59,65.41,16.80,2.286
275,68.23,59.65,65.31,16.89,2.148
280,68.16,59.63,65.43,16.93,2.107
285,68.21,59.62,65.34,16.83,2.224
290,68.21,59.61,65.28,16.85,2.168
295,68.15,59.63,65.37,16.84,2.204
299,68.23,59.65,65.40,16.81,2.296

BEST(epoch 205),68.34,59.51,65.52,16.76,2.398
