epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.02,3.89,20.90,88.78,-162.810
5,27.05,37.02,54.10,24.52,-37.414
10,58.72,48.79,57.87,22.55,-16.630
15,63.14,51.98,59.95,20.93,-10.611
20,64.91,53.64,60.78,20.16,-7.878
25,66.69,54.52,61.92,19.17,-5.027
30,66.92,55.40,62.32,19.06,-4.272
35,67.92,56.30,63.39,18.60,-2.468
40,68.16,56.60,63.59,18.60,-2.178
45,68.10,57.00,63.25,18.18,-1.590
50,68.12,57.05,63.87,18.50,-1.759
55,68.34,57.56,63.97,17.87,-0.555
60,68.42,57.66,64.44,17.80,-0.199
65,68.42,57.77,63.88,17.76,-0.324
70,68.48,58.24,64.14,17.74,0.021
75,68.48,58.26,64.43,17.79,0.075
80,68.17,58.38,64.68,17.55,0.443
85,68.44,58.30,64.36,17.59,0.327
90,68.50,58.33,64.89,17.55,0.629
95,68.29,58.72,65.07,17.46,0.906
100,68.53,58.86,65.06,17.47,1.034
105,68.48,59.04,64.91,17.30,1.264
110,68.45,59.00,65.09,17.56,0.947
115,68.35,59.05,65.04,17.53,0.952
120,68.54,58.84,65.15,17.27,1.344
125,68.36,58.98,64.86,17.31,1.162
130,68.47,59.14,65.22,17.28,1.453
135,68.59,59.06,65.16,17.20,1.553
140,68.50,58.92,65.05,17.08,1.586
145,68.48,59.30,65.23,17.07,1.818
150,68.64,59.16,65.17,17.11,1.741
155,68.44,59.63,65.37,17.15,1.881
160,68.34,59.45,65.14,17.34,1.414
165,68.54,59.44,65.38,16.96,2.110
170,68.31,59.34,65.47,17.01,1.950
175,68.43,59.21,65.07,17.17,1.559
180,68.31,59.50,65.42,16.95,2.078
185,68.42,59.59,65.31,17.04,1.986
190,68.23,59.47,65.26,16.96,1.958
195,68.30,59.46,65.52,16.86,2.224
200,68.45,59.46,65.59,16.87,2.294
205,68.37,59.54,65.41,16.79,2.335
210,68.53,59.55,65.36,16.96,2.142
215,68.42,59.63,65.25,16.84,2.256
220,68.45,59.52,65.40,16.95,2.130
225,68.36,59.63,65.32,16.91,2.165
230,68.44,59.60,65.39,16.95,2.155
235,68.44,59.43,65.34,17.01,1.983
240,68.36,59.59,65.51,16.85,2.308
245,68.35,59.54,65.32,16.85,2.208
250,68.36,59.58,65.38,16.85,2.252
255,68.37,59.58,65.38,16.87,2.228
260,68.30,59.56,65.54,16.86,2.272
265,68.31,59.56,65.36,16.88,2.176
270,68.28,59.61,65.39,16.80,2.308
275,68.34,59.61,65.35,16.88,2.203
280,68.31,59.63,65.45,16.93,2.171
285,68.39,59.59,65.40,16.86,2.261
290,68.36,59.57,65.35,16.87,2.208
295,68.31,59.59,65.37,16.85,2.234
299,68.37,59.60,65.45,16.81,2.348

BEST(epoch 299),68.37,59.60,65.45,16.81,2.348
