epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.78,2.89,20.75,99.11,-177.734
5,27.32,37.38,55.03,24.14,-36.267
10,59.15,50.02,58.29,22.33,-15.499
15,64.07,52.04,60.13,20.93,-10.169
20,65.70,53.85,61.53,20.02,-7.004
25,66.87,55.35,62.10,19.40,-4.872
30,67.37,55.79,62.63,19.10,-3.879
35,67.75,56.35,62.86,18.96,-3.224
40,68.13,56.35,63.23,18.53,-2.337
45,68.25,57.06,63.45,18.43,-1.778
50,68.28,57.51,63.99,18.06,-0.854
55,68.52,57.67,63.56,18.07,-0.886
60,68.67,57.70,64.45,17.86,-0.169
65,68.73,57.96,64.17,17.95,-0.280
70,68.29,58.39,64.35,17.96,-0.211
75,68.16,58.08,64.33,17.88,-0.282
80,68.47,58.80,64.51,17.72,0.419
85,68.49,58.60,64.52,17.69,0.391
90,68.66,58.84,65.02,17.80,0.599
95,68.28,58.74,64.63,17.50,0.678
100,68.36,58.97,64.21,17.38,0.799
105,68.58,59.03,64.95,17.51,1.021
110,68.54,59.08,64.89,17.73,0.697
115,68.59,59.10,65.04,17.26,1.437
120,68.26,58.94,64.85,17.47,0.882
125,68.57,59.16,64.91,17.11,1.611
130,68.59,59.14,65.43,17.17,1.735
135,68.36,59.30,65.04,17.14,1.599
140,68.62,59.52,65.08,17.12,1.829
145,68.53,59.57,65.35,16.99,2.105
150,68.28,59.57,65.05,17.07,1.780
155,68.19,59.38,65.18,17.05,1.750
160,68.51,59.40,65.23,17.16,1.744
165,68.44,59.56,65.03,17.02,1.897
170,68.45,59.64,65.17,17.01,2.003
175,68.39,59.50,65.28,17.02,1.954
180,68.55,59.60,65.19,16.91,2.171
185,68.25,59.63,65.16,16.97,1.976
190,68.27,59.68,65.11,16.96,1.998
195,68.16,59.46,65.17,16.96,1.892
200,68.29,59.57,64.96,16.89,1.998
205,68.32,59.45,65.26,17.01,1.914
210,68.35,59.65,65.10,16.89,2.109
215,68.33,59.75,65.20,16.97,2.071
220,68.17,59.53,65.34,16.89,2.090
225,68.17,59.56,65.24,16.84,2.131
230,68.15,59.67,65.27,16.81,2.222
235,68.25,59.61,65.14,17.06,1.835
240,68.21,59.60,65.19,16.84,2.142
245,68.09,59.63,65.16,16.82,2.125
250,68.16,59.68,65.15,16.89,2.070
255,68.16,59.76,65.19,16.92,2.077
260,68.16,59.69,65.21,16.88,2.112
265,68.19,59.69,65.16,16.86,2.131
270,68.17,59.71,65.17,16.89,2.094
275,68.19,59.74,65.18,16.85,2.173
280,68.14,59.69,65.21,16.81,2.202
285,68.14,59.68,65.15,16.80,2.188
290,68.16,59.71,65.20,16.86,2.144
295,68.17,59.70,65.21,16.84,2.176
299,68.17,59.73,65.17,16.80,2.227

BEST(epoch 299),68.17,59.73,65.17,16.80,2.227
