epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,2.02,3.89,20.90,88.77,-162.796
5,26.98,37.33,54.01,24.54,-37.379
10,58.76,48.75,57.84,22.56,-16.658
15,63.14,51.95,59.96,20.93,-10.619
20,64.93,53.70,60.81,20.12,-7.779
25,66.72,54.53,61.95,19.15,-4.972
30,66.92,55.38,62.33,19.05,-4.263
35,67.96,56.29,63.41,18.59,-2.435
40,68.18,56.60,63.59,18.58,-2.142
45,68.14,57.00,63.23,18.17,-1.570
50,68.13,57.04,63.91,18.49,-1.730
55,68.36,57.54,63.95,17.87,-0.564
60,68.44,57.68,64.46,17.80,-0.176
65,68.42,57.77,63.89,17.76,-0.320
70,68.48,58.24,64.13,17.73,0.030
75,68.51,58.25,64.47,17.79,0.098
80,68.19,58.36,64.69,17.55,0.446
85,68.46,58.30,64.39,17.59,0.346
90,68.52,58.28,64.91,17.56,0.611
95,68.31,58.71,65.06,17.46,0.905
100,68.54,58.84,65.08,17.47,1.038
105,68.48,59.06,64.94,17.31,1.271
110,68.44,58.99,65.09,17.57,0.926
115,68.37,59.03,65.06,17.54,0.946
120,68.58,58.86,65.16,17.28,1.357
125,68.41,59.00,64.86,17.32,1.174
130,68.50,59.13,65.21,17.30,1.428
135,68.59,59.07,65.15,17.21,1.539
140,68.51,58.96,65.07,17.09,1.600
145,68.48,59.30,65.23,17.07,1.818
150,68.65,59.15,65.19,17.12,1.735
155,68.46,59.61,65.40,17.16,1.878
160,68.34,59.44,65.14,17.36,1.382
165,68.53,59.45,65.40,16.95,2.132
170,68.31,59.33,65.47,17.02,1.932
175,68.42,59.21,65.10,17.17,1.568
180,68.31,59.51,65.42,16.94,2.096
185,68.43,59.59,65.29,17.05,1.968
190,68.26,59.46,65.25,16.96,1.961
195,68.31,59.46,65.50,16.87,2.205
200,68.46,59.46,65.56,16.87,2.285
205,68.36,59.54,65.41,16.79,2.332
210,68.53,59.55,65.36,16.96,2.142
215,68.41,59.62,65.26,16.85,2.239
220,68.47,59.52,65.40,16.95,2.138
225,68.35,59.63,65.30,16.92,2.139
230,68.45,59.57,65.38,16.95,2.142
235,68.45,59.42,65.34,17.01,1.982
240,68.36,59.57,65.50,16.85,2.296
245,68.35,59.53,65.32,16.86,2.190
250,68.37,59.56,65.38,16.85,2.248
255,68.38,59.56,65.38,16.88,2.210
260,68.32,59.54,65.54,16.87,2.257
265,68.32,59.55,65.35,16.88,2.171
270,68.29,59.59,65.39,16.80,2.304
275,68.35,59.59,65.35,16.89,2.185
280,68.32,59.61,65.44,16.94,2.148
285,68.39,59.57,65.40,16.86,2.253
290,68.36,59.56,65.34,16.88,2.186
295,68.31,59.58,65.35,16.86,2.208
299,68.38,59.59,65.44,16.82,2.329

BEST(epoch 205),68.36,59.54,65.41,16.79,2.332
