epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.1109,4.8454,20.845,100.5957,-178.8502528985954
5,31.4549,35.8978,54.085,24.3458,-35.992503603102726
10,58.1773,47.5442,58.058,22.3781,-17.02067421165512
15,63.5079,51.9588,59.972,20.8926,-10.421685766101717
20,64.593,53.3632,60.637,19.6695,-7.482906475559757
25,66.4354,54.8871,61.663,19.1304,-5.021034107029
30,67.063,55.6648,62.735,18.7479,-3.5116750510800245
35,67.4462,55.9588,63.006,18.8244,-3.2482209480717352
40,67.8564,56.372,63.312,18.3776,-2.1845522516095355
45,67.6381,56.9122,63.366,18.0093,-1.5136504663764019
50,67.5693,57.3752,63.302,18.1862,-1.6241035331675808
55,67.8779,57.5492,64.182,17.994,-0.8188365460951366
60,68.0395,57.3643,64.014,17.9271,-0.8076570485219157
65,67.9968,57.8468,63.92,17.7971,-0.48559721446714343
70,68.1426,58.0183,64.248,17.5797,0.07183133970377299
75,68.162,58.199,64.534,17.6799,0.1272690107480409
80,68.3129,58.453,64.664,17.8843,0.05369644452454074
85,68.2238,58.4619,64.716,17.5699,0.48239252055394305
90,68.3209,58.769,64.953,17.442,0.9154447850476868
95,67.827,58.688,64.76,17.3347,0.7709222027673943
100,68.2368,58.6757,65.061,17.3944,0.9560241564449136
105,68.2943,58.8837,64.783,17.3072,1.0712238884204968
110,67.8815,58.9368,65.262,17.3202,1.1130860489090144
115,68.0873,58.8394,64.837,17.3117,0.9917348546489649
120,68.2637,58.9762,65.096,17.2176,1.3473356004063834
125,68.1419,59.2047,65.259,17.2307,1.4414031197569521
130,68.2472,59.136,64.888,17.328,1.1687169607943204
135,68.1475,59.2819,65.086,17.4089,1.1573706925830016
140,68.169,59.5727,65.16,17.1163,1.7194971620554957
145,67.8856,59.4076,65.157,17.1318,1.5246668688921166
150,67.94,59.6233,64.727,17.0748,1.5388611071765317
155,68.1705,59.595,65.0,17.1613,1.6022989037908282
160,68.0735,59.5067,64.879,16.9547,1.7694799244252257
165,68.1492,59.3256,65.137,17.0571,1.685519824098648
170,68.1169,59.5281,65.08,17.0824,1.6971983589510125
175,68.2853,59.5749,65.184,17.0779,1.8266906591271699
180,68.1058,59.5735,65.056,16.9798,1.844511453691776
185,67.9925,59.6719,64.924,16.9981,1.763703571223773
190,67.9899,59.4602,65.253,16.9366,1.8947529288839402
195,67.9409,59.5505,64.959,17.042,1.6484627241069736
200,67.9244,59.4501,64.82,16.9793,1.6332905678353085
205,67.8438,59.6309,65.025,16.9192,1.8421043874342347
210,67.964,59.592,64.885,17.0295,1.6615268645642205
215,67.7781,59.6423,65.112,16.9824,1.769227432392445
220,67.7846,59.5412,65.19,16.8661,1.923905520354998
225,67.9808,59.5743,65.05,16.9342,1.8593716330694554
230,67.818,59.649,65.216,16.9705,1.8450290906424223
235,67.7747,59.58,65.186,16.845,1.9636365082279041
240,67.8694,59.6554,64.92,16.8469,1.9200002432233088
245,67.85,59.6597,65.119,16.8376,2.0072496159157533
250,67.834,59.6409,65.166,16.8306,2.022292588499966
255,67.8212,59.5445,65.114,16.8793,1.8900146396595559
260,67.8516,59.6618,65.014,16.8056,2.0111100964360267
265,67.8257,59.6778,65.108,16.7888,2.068997762855629
270,67.8027,59.6733,65.052,16.8383,1.9673072572922528
275,67.8479,59.6165,65.097,16.8076,2.021944494308995
280,67.8126,59.6613,65.055,16.817,1.996981174236252
285,67.9184,59.6905,65.036,16.8319,2.0197756623661407
290,67.8283,59.6133,65.073,16.8527,1.940995574753759
295,67.8474,59.6348,65.137,16.8506,1.9853624498712037
299,67.8227,59.62,65.155,16.8813,1.9347075908860374

BEST(epoch 265),67.8257,59.6778,65.108,16.7888,2.068997762855629
