epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.1134,4.8131,20.891,101.3351,-179.87257650202199
5,32.1171,36.026,53.717,24.2863,-35.759211392393766
10,58.6528,47.7788,57.927,22.4374,-16.884124183935352
15,63.3296,51.9886,59.554,21.1763,-11.038265863512695
20,64.6829,53.2333,60.443,20.108,-8.189735954681113
25,66.2913,54.2373,61.357,19.3789,-5.805356597170821
30,66.9879,55.4024,62.053,19.0126,-4.287244866144266
35,67.2545,55.7429,62.612,19.0876,-3.930827135447554
40,67.6201,55.822,63.218,18.5601,-2.7860591030892996
45,67.8891,56.5703,63.27,18.2365,-1.9128798556798916
50,68.0193,56.8883,62.803,18.4102,-2.1649809745568973
55,68.0412,57.1677,63.897,18.1346,-1.2219766605927753
60,68.344,57.1875,63.647,18.0513,-1.0857047035434924
65,67.9456,57.5371,63.808,17.9209,-0.8468014591563198
70,68.2889,57.407,64.015,17.7038,-0.38659329975169443
75,68.1955,57.8094,64.258,17.8407,-0.3519161623344335
80,68.3059,58.0768,64.303,17.7897,-0.11391150135216782
85,68.3574,58.3374,64.395,17.6893,0.18701006520785218
90,68.331,58.3245,64.661,17.4979,0.5449157084970182
95,68.0781,58.1321,64.474,17.4448,0.37206972047087383
100,68.3297,58.5655,64.727,17.5386,0.6115607737176337
105,68.1157,58.8261,64.541,17.4246,0.7211776157984465
110,68.3381,58.7268,64.801,17.5088,0.750928343399096
115,68.2373,58.7306,64.672,17.3133,0.9352248545606894
120,68.1416,58.7512,64.586,17.247,0.9656976168325927
125,68.065,58.9106,65.046,17.2764,1.1450928361163046
130,68.1748,58.9284,64.443,17.367,0.8252968264249385
135,68.2108,59.1373,64.994,17.4584,1.0167906329278442
140,68.1566,59.0115,64.959,17.2127,1.2736328189621595
145,68.0237,59.2021,64.693,17.3135,1.0542502221874808
150,68.011,59.1551,64.667,17.1887,1.1937508731712991
155,68.1562,59.2686,64.805,17.1975,1.3366687241285216
160,68.0128,59.3861,64.627,17.046,1.4701576880397933
165,68.1034,59.1409,64.881,17.1314,1.387910608124477
170,68.0744,59.2434,64.823,17.1578,1.3585171906533666
175,68.167,59.1488,64.888,17.1772,1.3538463159892797
180,68.0376,59.2357,64.856,17.066,1.4826650142708715
185,68.0733,59.3183,64.816,17.1506,1.3955537337149775
190,68.0576,59.2561,65.095,17.0115,1.669990292008186
195,67.934,59.2807,64.932,17.0963,1.4506142992464353
200,68.0258,59.3159,64.88,17.0657,1.520691506569894
205,67.9893,59.421,64.863,16.9838,1.6566651320922388
210,67.9486,59.3973,64.932,17.12,1.470142691112553
215,67.8319,59.3237,64.947,17.1002,1.4305833526732117
220,67.9207,59.3193,64.977,16.9623,1.6657143456639913
225,67.967,59.3706,64.879,17.0795,1.501301516749336
230,67.964,59.374,64.954,17.0722,1.5417861171997678
235,67.9405,59.3506,65.05,16.9529,1.7280621541794445
240,67.9485,59.4033,64.797,16.9759,1.6188706825075676
245,67.902,59.4587,64.955,16.9271,1.7551810827969208
250,67.8255,59.4164,64.974,16.932,1.710451131964335
255,67.8487,59.3672,64.953,16.9946,1.6037098643628085
260,67.9311,59.4637,64.869,16.9067,1.7619216485476243
265,67.8862,59.4241,64.906,16.8943,1.7613210537148256
270,67.9299,59.444,64.899,16.9574,1.6950174049325817
275,67.9122,59.4399,64.897,16.9229,1.73397320526362
280,67.9017,59.4734,64.823,16.9246,1.711554605487355
285,67.9689,59.5098,64.795,16.9459,1.7103852292989954
290,67.9069,59.4322,64.889,16.9589,1.6756022533756914
295,67.9171,59.4363,64.909,16.9724,1.6702893701199255
299,67.8894,59.4104,64.907,16.9742,1.6462243927994582

BEST(epoch 260),67.9311,59.4637,64.869,16.9067,1.7619216485476243
