epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.1174,4.8559,20.764,101.5877,-180.2561523017735
5,32.7357,36.4968,54.215,24.3032,-35.162890596628934
10,58.3336,47.0599,58.043,22.4672,-17.288009558025003
15,63.6444,51.7461,59.882,21.139,-10.835655295576178
20,64.9357,53.3497,60.73,19.8603,-7.589035495815036
25,66.5646,54.4557,61.431,19.2977,-5.472896296218279
30,67.1277,55.4662,62.414,18.882,-3.883049689150251
35,67.4546,55.6824,62.834,18.9676,-3.624860441634412
40,67.9368,56.1591,63.145,18.417,-2.362364079064866
45,67.6723,56.6035,63.136,18.1217,-1.8741387095043467
50,67.7411,57.1523,63.002,18.1664,-1.7429227585395963
55,68.045,57.2958,63.827,18.0774,-1.1173418593424969
60,68.0792,57.1264,63.739,17.9749,-1.0656901045827811
65,68.067,57.5767,63.639,17.8514,-0.7567324023839054
70,68.0914,57.8259,64.067,17.6373,-0.17758951446946084
75,68.0247,57.947,64.274,17.7496,-0.22674738353604976
80,68.2529,58.0937,64.409,17.9132,-0.25611574080053323
85,68.0733,58.149,64.525,17.5916,0.19332629729031103
90,68.0954,58.4473,64.717,17.4739,0.5626949085101146
95,67.9459,58.4535,64.556,17.3786,0.5776155993585731
100,68.2164,58.3675,64.732,17.4782,0.5755215441535493
105,68.1876,58.6038,64.57,17.3742,0.7399285019358324
110,67.8674,58.6111,65.102,17.4261,0.7648793533739149
115,67.9917,58.7794,64.824,17.3455,0.879718449766056
120,68.146,58.7658,64.812,17.2689,1.0333780652667208
125,67.9304,58.9987,65.068,17.3038,1.101292312079348
130,68.0557,58.7898,64.836,17.4343,0.788995035070059
135,68.0419,59.1928,64.906,17.5666,0.7905561458787159
140,67.9602,59.2867,65.142,17.1868,1.4210797623623286
145,67.6981,59.1563,65.025,17.2151,1.1846629878604478
150,67.6722,59.2165,64.718,17.1545,1.1605423852971606
155,67.7989,59.2996,65.058,17.2212,1.2847503682195895
160,67.847,59.2939,64.839,16.9771,1.5521240876220366
165,68.0179,59.2126,65.061,17.143,1.4410864819687956
170,67.9203,59.2711,65.077,17.135,1.4459427902507374
175,68.1142,59.303,65.12,17.1476,1.5306570803025004
180,67.9411,59.3201,65.018,17.0588,1.5558133718120282
185,67.8422,59.4399,64.85,17.1421,1.3841374857771795
190,67.6805,59.2391,65.102,17.0143,1.521769755029657
195,67.7161,59.3867,64.905,17.093,1.4061176221202483
200,67.6941,59.2408,64.825,17.0258,1.4004493379477003
205,67.7029,59.4879,64.997,16.9917,1.6198780731087998
210,67.7936,59.3234,64.807,17.0722,1.399034944867183
215,67.5744,59.43,65.106,17.0746,1.477080747464803
220,67.712,59.3006,65.022,16.9391,1.6308550027127389
225,67.7718,59.3903,65.102,17.0264,1.5999335178728438
230,67.6379,59.3997,65.135,17.0451,1.5411377229748178
235,67.5833,59.3116,65.065,16.9208,1.6301236374307408
240,67.6541,59.4431,64.972,16.9295,1.6601501308015103
245,67.6687,59.4848,65.097,16.9254,1.7382386317152303
250,67.6394,59.4176,65.088,16.9265,1.6950735649066844
255,67.642,59.3469,65.046,16.9833,1.571639388600992
260,67.6599,59.4412,64.995,16.8923,1.7225156075135812
265,67.6661,59.4341,65.067,16.8704,1.7812924047880276
270,67.6615,59.441,65.07,16.9176,1.7179046424707418
275,67.6897,59.4231,65.109,16.8959,1.7669949870517787
280,67.6481,59.4378,65.01,16.902,1.7092735835936925
285,67.7346,59.4697,64.989,16.9108,1.733663462303915
290,67.638,59.3769,65.063,16.9323,1.6600299072907356
295,67.652,59.3985,65.126,16.9271,1.7064518925864822
299,67.6207,59.3914,65.13,16.9635,1.6429070344474404

BEST(epoch 265),67.6661,59.4341,65.067,16.8704,1.7812924047880276
