epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.646,4.9152,33.63,68.3894,-128.69108417297898
5,20.2689,36.1091,52.904,24.0355,-40.10988962610609
10,57.6649,49.165,56.425,22.0001,-16.68587874143905
15,64.013,52.3441,58.723,20.3398,-9.810008368146034
20,66.2477,53.853,60.346,19.2526,-6.20637263063377
25,67.4294,54.9234,61.299,18.9547,-4.53815893043508
30,67.7439,55.7012,61.202,18.703,-3.795917720010827
35,68.7676,55.9532,62.574,18.2766,-2.170074657597948
40,68.8043,56.9572,62.649,18.6631,-2.2587566648282076
45,68.6277,57.3734,62.678,17.9283,-1.1225467943602647
50,69.3163,57.7784,63.155,17.6108,-0.06995085200384135
55,69.3504,58.305,63.452,17.8008,0.010068358271826021
60,69.4603,58.2415,63.611,17.5323,0.46260615090082113
65,69.9694,58.3641,63.675,17.4601,0.82757342784445
70,69.9067,58.8774,64.081,17.1112,1.6596437767413814
75,69.8159,58.6121,63.167,17.2954,0.896032333754405
80,70.2269,59.0519,64.084,17.4336,1.4018680786549025
85,69.9495,59.1084,64.028,17.0875,1.7805350877137576
90,69.854,59.2922,64.171,17.0398,1.9429069849932263
95,70.2213,59.7018,64.355,17.1915,2.1076098496599305
100,70.1138,59.7537,64.645,16.9934,2.4804516033391297
105,70.3794,59.8171,64.446,16.8412,2.7367901297312023
110,70.2707,59.6149,64.027,16.7428,2.5836243607948237
115,70.0888,59.6677,64.515,16.662,2.845356864229286
120,70.4252,59.9762,64.421,16.7008,3.0033535086348935
125,70.2317,60.1035,64.459,16.5632,3.1894330059549683
130,70.2414,60.0156,64.593,16.5717,3.199461174609887
135,70.4494,60.1598,64.188,16.8113,2.8393184282385318
140,70.3305,59.9658,64.196,16.5512,3.0818379399107387
145,70.2268,60.1371,64.285,16.6435,3.0196926518835343
150,70.4261,60.3305,64.756,16.7339,3.234986065803925
155,70.4767,60.1141,64.514,16.7074,3.106285098338475
160,70.4261,60.3676,64.7,16.5268,3.515627850305949
165,70.4206,60.286,64.664,16.7144,3.2052164242605654
170,70.4873,60.2595,64.834,16.5019,3.583124359442426
175,70.3617,60.4326,64.983,16.4866,3.6873112619496085
180,70.51,60.4942,64.709,16.5391,3.5844388990700984
185,70.3504,60.4536,64.504,16.2019,3.8956011798668055
190,70.4686,60.575,64.773,16.2024,4.095738052299109
195,70.4533,60.4708,64.684,16.3554,3.7994429112102908
200,70.3831,60.4901,64.512,16.3078,3.7783777429433867
205,70.4654,60.5171,64.338,16.2903,3.774468840094411
210,70.3825,60.5561,64.727,16.2672,3.947487469702746
215,70.4155,60.4838,64.579,16.4452,3.6235988818969114
220,70.3417,60.4937,64.623,16.351,3.748838151908349
225,70.42,60.5859,64.582,16.469,3.634580775666781
230,70.3753,60.5861,64.779,16.2629,3.9837519767303515
235,70.4746,60.6624,64.685,16.3219,3.9317176451455977
240,70.4109,60.664,64.729,16.4119,3.801102805436151
245,70.4718,60.6683,64.719,16.2833,4.000391185419817
250,70.4336,60.5983,64.747,16.2767,3.978333194658573
255,70.4054,60.5867,64.662,16.2357,3.98611869187157
260,70.3942,60.6311,64.681,16.266,3.965340801691318
265,70.4115,60.5978,64.778,16.3158,3.927944466649655
270,70.468,60.5946,64.713,16.395,3.8114227139119787
275,70.4262,60.6684,64.72,16.3375,3.908467304049575
280,70.4518,60.6951,64.786,16.294,4.015749036274359
285,70.4306,60.6598,64.737,16.3007,3.964645101478191
290,70.4541,60.6923,64.712,16.2872,3.995263255870286
295,70.4503,60.6639,64.667,16.289,3.96183774142363
299,70.4678,60.6507,64.733,16.3253,3.938981270324894

r64 prom50 tslora-still
best:280,70.4518,60.6951,64.786,16.294,4.015749036274359
