epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.0807,8.1263,31.632,38.6035,-87.33981767996835
5,33.9323,41.0875,54.742,24.0864,-32.351691192166335
10,61.3382,50.4071,57.424,21.9669,-14.371364684053558
15,65.1766,53.1893,59.098,19.8985,-8.271693437569834
20,67.2605,55.154,60.621,19.2881,-5.243576480513369
25,68.2094,55.6323,61.487,18.6536,-3.467580151739734
30,69.0507,56.7664,62.146,17.9442,-1.4456710026438508
35,69.0766,57.1349,62.518,18.0631,-1.3035369595649642
40,69.5428,56.8446,63.045,17.4212,-0.14299075124469862
45,69.3126,58.3552,63.013,17.5076,0.2481523708061052
50,69.5465,58.3287,63.816,17.1817,1.0998255121819103
55,69.8363,58.8922,63.344,17.503,0.7988473373459081
60,69.9835,58.7964,64.222,17.0763,1.7606015763655776
65,69.823,59.2095,64.072,17.314,1.4768271126542105
70,69.7199,59.3304,63.66,16.9682,1.803165372806137
75,69.6219,59.2053,64.301,16.9053,2.0607356953134404
80,69.5926,59.4193,64.034,16.7584,2.233536331895441
85,69.8181,59.6459,63.584,16.7559,2.2319344437073854
90,69.9855,59.5642,64.019,16.6829,2.5371979357922445
95,69.7903,59.6627,64.012,16.6229,2.58501804612791
100,69.8854,59.9816,64.197,16.6239,2.8219131206707497
105,69.6973,60.0897,64.322,16.6191,2.852381917277712
110,69.9329,60.2926,64.377,16.5028,3.2057750447323716
115,70.1207,60.153,64.127,16.7875,2.7229594009217215
120,69.6471,60.3036,64.299,16.3837,3.238324718260687
125,69.6285,60.2657,64.283,16.7794,2.659190341552499
130,69.6034,60.4072,64.019,16.6913,2.7236862133164594
135,69.6841,60.313,64.293,16.3707,3.271562082515547
140,69.7242,60.2933,64.587,16.3445,3.432858047889225
145,69.4319,60.3473,64.106,16.4318,3.0316151813974757
150,69.5634,60.5887,64.081,16.6484,2.866618148938661
155,69.5655,60.6022,64.49,16.6272,3.0663361690223825
160,69.6313,60.5674,64.352,16.3908,3.3503122450523226
165,69.6542,60.5449,64.375,16.2312,3.5810063482592303
170,69.6184,60.6269,64.76,16.2561,3.7205211874523325
175,69.4816,60.646,64.418,16.3242,3.4454758753695844
180,69.5923,60.7619,64.307,16.117,3.7771908699884107
185,69.5533,60.7874,64.286,16.1758,3.6827547668410543
190,69.3923,60.7404,64.257,16.0798,3.725822830748784
195,69.4225,60.794,64.301,16.3155,3.4484283284269974
200,69.3619,60.5981,64.28,16.0231,3.7451747036274456
205,69.4741,60.712,64.401,15.9648,3.9625127366935042
210,69.3761,60.7025,64.303,16.2239,3.5224686656805853
215,69.3235,60.7108,64.249,16.2111,3.502409174076275
220,69.3975,60.8544,64.381,16.0342,3.886935157878307
225,69.2203,60.8421,64.392,15.9932,3.8775071596000856
230,69.3526,60.8015,64.563,16.038,3.916567570364446
235,69.3323,60.9052,64.555,16.0119,3.9839812091670916
240,69.4106,60.8225,64.43,16.0825,3.831382330017488
245,69.4917,60.9291,64.351,16.0695,3.8909911038172678
250,69.305,60.773,64.431,16.0867,3.7666781134629597
255,69.2991,60.8648,64.426,16.0836,3.8038494001541348
260,69.3626,60.8344,64.312,16.0957,3.7526541624060736
265,69.3516,60.8477,64.27,16.0624,3.783418269357923
270,69.3964,60.8266,64.309,16.0447,3.8318266790106152
275,69.3986,60.8823,64.287,16.06,3.8250234267949415

best: 235,69.3323,60.9052,64.555,16.0119,3.9839812091670916
