epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,3.5579,10.6319,33.885,59.9002,-114.13167499497314
5,18.5926,37.9386,55.198,24.4179,-39.60707514343474
10,55.9314,49.8764,58.71,22.2217,-16.43559970843194
15,63.4335,51.8581,60.367,20.6259,-9.960595783308388
20,66.0774,54.5906,61.961,19.3257,-5.426106471757401
25,68.0101,55.3243,62.782,18.5721,-3.0334177829705498
30,68.2834,55.8728,63.681,18.408,-2.1215771810152466
35,68.7133,56.9374,64.26,18.1446,-0.9333072848569477
40,69.2596,57.3741,64.309,17.9269,-0.23130013177157838
45,69.3949,57.6885,64.821,17.7949,0.3348767894408175
50,69.7088,58.2032,64.796,17.4545,1.1229555937360605
55,69.7641,58.1906,65.163,17.595,1.090127565829516
60,69.8752,58.4442,65.486,17.5699,1.3982570450206582
65,70.0123,58.982,65.567,17.5167,1.7728440617433956
70,70.0501,58.8763,65.691,17.2263,2.1979613310201476
75,70.256,59.3081,65.38,17.1476,2.433648098184009
80,70.2297,58.9743,66.031,16.8436,2.9730699819390574
85,70.0302,59.4776,66.072,17.2563,2.544323303247614
90,70.282,59.7761,65.971,16.9261,3.1773634569125853
95,70.3086,59.9733,65.717,17.1434,2.862709993465571
100,70.3098,60.0137,66.009,16.9677,3.2409812553972137
105,70.2211,60.0306,66.159,17.1459,3.0270410296723114
110,70.3215,60.0043,65.997,16.6895,3.623761077280997
115,70.5679,60.0221,66.094,16.8641,3.518588139779873
120,70.1208,60.1202,66.335,16.6585,3.774546397840073
125,70.4391,59.9485,66.181,16.8706,3.4668085102541664
130,70.2035,60.3466,66.095,16.5369,3.9696415840395014
135,70.4076,60.3327,65.861,16.4635,4.048238627293032
140,70.423,60.3125,66.293,16.7007,3.889033856250136
145,70.4037,60.3586,66.379,16.3899,4.367334656488611
150,70.6132,60.5531,66.171,16.3192,4.538736329457155
155,70.3989,60.5788,66.344,16.7536,3.934424017546745
160,70.3544,60.4356,66.254,16.3752,4.350410555463956
165,70.366,60.5724,65.871,16.4503,4.151900776234675
170,70.3994,60.5072,66.378,16.5499,4.202728101096143
175,70.3247,60.6733,66.134,16.2569,4.551782581066846
180,70.466,60.6325,65.984,16.5567,4.110643140383273
185,70.4341,60.471,66.317,16.3349,4.475673059780673
190,70.3417,60.7575,66.25,16.2359,4.667823020372565
195,70.2981,60.6078,66.323,16.3709,4.432631290614757
200,70.4502,60.6197,65.915,16.3929,4.299812314896691
205,70.3727,60.6833,66.065,16.3437,4.425250666490624
210,70.4346,60.7399,66.169,16.2884,4.589757749895838
215,70.4002,60.7982,66.293,16.1208,4.883382385660159
220,70.4098,60.812,66.124,16.3028,4.571561680876957
225,70.3659,60.7404,66.334,16.2135,4.734765585613234
230,70.3512,60.8859,66.174,16.0512,4.94967233738528
235,70.3856,60.8131,66.201,16.2606,4.652587151160857
240,70.2929,60.9395,66.277,16.3563,4.566465597644466
245,70.2987,60.8175,66.13,16.1412,4.759681150837188
250,70.3375,60.8536,66.142,16.232,4.667176332389071
255,70.3055,60.8567,66.087,16.2123,4.661878616716264
260,70.299,60.8647,66.206,16.2822,4.613159380173645
265,70.4001,60.8872,66.125,16.1906,4.754804892814616
270,70.3171,60.9342,66.219,16.1742,4.803410806163135
275,70.3349,60.8608,66.189,16.1936,4.74138332091389
280,70.3638,60.8735,66.279,16.2255,4.748967051772473
285,70.3799,60.8481,66.157,16.1805,4.758389170705052
290,70.382,60.8885,66.296,16.2112,4.788502728817881
295,70.3358,60.902,66.283,16.2223,4.756112573345922
299,70.3788,60.852,66.234,16.189,4.778603197053921

best: 230,70.3512,60.8859,66.174,16.0512,4.94967233738528
