epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,0.5341,3.3581,27.16,92.3842,-187.2106421085537
5,11.7128,24.7589,47.647,25.7538,-60.644642296950465
10,26.6113,29.2977,49.589,23.1804,-49.21671447434291
15,46.6594,32.754,51.108,21.4448,-38.024562266162285
20,52.4204,32.7013,50.952,20.3487,-34.460735796887406
25,54.2324,33.6381,52.737,19.6256,-31.691427738927935
30,55.7842,35.7006,52.27,18.9235,-29.45111106050955
35,56.3826,35.4472,52.538,18.8019,-29.05658007642802
40,55.4368,33.771,52.303,18.4763,-29.559662178119474
45,55.8794,35.7483,52.815,18.3505,-28.27766981536816
50,57.0733,39.2356,53.951,18.439,-26.295255542288952
55,56.0449,37.901,53.634,18.3141,-27.049942916356663
60,55.6652,35.5052,54.017,18.013,-27.45022829003121
65,56.2766,37.9759,54.383,17.6966,-25.674514357720078
70,58.8364,39.6504,55.555,17.806,-23.950821403375926
75,58.4015,38.8842,55.464,17.4443,-23.832863570252087
80,58.6749,40.9741,56.12,17.3908,-22.62655431479305
85,58.5948,40.7985,55.986,17.3412,-22.68868483692276
90,56.7035,38.4297,55.397,17.4456,-24.584386060235314
95,58.4397,39.1564,56.11,17.2331,-23.13833404651413
100,58.2446,38.8729,55.503,17.3002,-23.64181700077503
105,57.8491,38.9148,56.267,17.3293,-23.51851103482474
110,56.9306,38.7214,55.75,17.1754,-23.83459532353568
115,59.1341,41.1588,56.174,17.0323,-21.810177117066225
120,58.755,40.5546,56.371,17.0483,-22.114217065836783
125,60.0089,42.2177,56.844,16.9712,-20.779201421118692
130,59.7042,42.2297,56.955,17.0467,-20.954345171127645
135,61.121,44.1172,57.784,17.074,-19.517743840384043
140,60.1959,42.3622,57.014,16.784,-20.299423328226847
145,58.7995,40.4344,56.486,17.03,-22.07294602421044
150,58.3375,41.1568,56.573,16.8734,-21.666773125069216
155,60.5065,42.5915,57.121,16.7978,-20.094324491476463
160,59.0008,42.1282,56.954,16.8226,-20.861409962542478
165,60.1954,42.4193,57.218,16.8289,-20.274715247388063
