epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.073,2.5314,18.654,43.7032,-101.89966997513858
5,11.0138,26.6022,53.067,25.7483,-49.70775873410061
10,39.3594,43.9569,56.844,22.9037,-26.68645329914604
15,57.0054,49.8531,58.91,21.7328,-15.285157524267243
20,62.6976,51.8112,59.959,20.6754,-10.485717433700765
25,65.2083,52.7446,60.966,19.7801,-7.525702664018328
30,65.8741,54.2396,61.603,19.5349,-6.078005022324541
35,66.298,54.6702,62.186,19.4777,-5.433164207393807
40,66.9428,55.3025,62.325,18.8066,-3.948697925759506
45,67.4604,55.7318,62.749,18.7448,-3.3268819048533724
50,67.5207,56.1137,63.059,18.5656,-2.7766835008535042
55,68.0158,56.5032,63.129,18.3061,-2.0462022183064184
60,68.0818,56.5189,63.849,18.1856,-1.558981124561428
65,68.4086,56.9177,63.573,18.3134,-1.5648955449372466
70,68.3856,57.1762,63.744,17.9213,-0.855042089650013
75,68.3877,57.57,63.811,17.8628,-0.5870410337947705
80,68.2607,57.3904,64.243,17.6592,-0.25031666028622396
85,68.7877,57.7776,64.142,17.6741,0.040790036779358385
90,68.533,57.8916,64.153,17.5365,0.18791011720835576
95,68.6419,58.0999,64.466,17.5005,0.488089029799974

BEST(epoch 95),68.6419,58.0999,64.466,17.5005,0.488089029799974
