epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,3.0211,6.3005,37.343,86.1146,-151.16299804951439
0,2.6132,7.3731,33.804,62.983,-120.11988375437703
5,26.4844,37.5226,55.452,24.6805,-37.10299269027356
10,56.4539,50.4677,58.847,22.356,-16.13445661373532
15,63.3929,52.8088,60.323,20.6036,-9.578536041237932
20,66.0399,54.7012,61.705,19.5181,-5.765722793953837
25,66.7313,55.3075,62.429,18.9642,-4.202905079101976
30,67.7782,56.263,63.209,18.7364,-2.7981058700758434
35,67.9708,56.9982,63.363,18.1975,-1.618208096432005
40,68.3523,56.8821,63.174,18.1095,-1.4765251715331218
45,68.6998,57.2817,63.839,17.913,-0.6459427519495832
50,68.8882,57.9617,63.951,17.7496,-0.029129327667482344
55,69.0474,57.8708,63.968,17.7528,-0.004242109513011858
60,69.1642,58.2536,64.746,17.6904,0.5924931426338745
65,69.4841,58.3776,64.625,17.3508,1.1854800181683167
70,69.4156,58.8859,64.765,17.458,1.2721887959539737
75,69.3336,58.7451,64.968,17.3033,1.481464176209838
80,69.5094,59.1207,64.896,17.2422,1.7546125270270492
85,69.4309,59.0653,65.01,17.1084,1.9349023197467046
90,69.614,59.1716,65.037,17.0792,2.0973703391112246
95,69.6545,59.3009,65.234,16.8667,2.5392522726119404
100,69.6279,59.3151,65.258,17.1289,2.179938661087638
105,69.5048,59.5438,65.154,16.8785,2.533129615323825
110,69.5073,59.3902,65.063,16.8003,2.544358908059505
115,69.4942,59.7282,65.346,17.0062,2.5029531892652677
120,69.2328,59.7178,65.209,16.8817,2.5197958520254677
125,69.3146,59.7285,65.151,16.7196,2.756801197523829
130,69.5286,59.5034,65.535,16.6306,3.0233207250178813
135,69.3096,59.8165,64.995,16.7133,2.7366798213148456
140,69.4422,59.9508,65.476,16.5903,3.2041986761510697
145,69.527,59.8845,65.144,16.4446,3.27855696873802
150,69.3994,60.023,65.446,16.5278,3.2923458396977945
155,69.2258,60.0399,65.516,16.6429,3.1025337047552783
160,69.3376,60.2855,65.29,16.4821,3.3763526683200866
