epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.0582,2.9324,35.803,70.0308,-131.12238406464272
0,2.0658,2.9349,35.801,69.9495,-131.00624464975596
5,23.6468,37.1575,54.987,23.865,-37.35779222955232
10,58.4284,49.4338,58.24,22.1017,-15.706971313946521
15,63.763,53.1985,59.716,21.0409,-10.135314996570823
20,66.0397,53.7024,61.729,19.6548,-6.349549324866659
25,66.7954,55.4923,62.641,19.0324,-4.114337892289733
30,67.1578,56.0651,62.945,19.0068,-3.590800260882375
35,68.0144,56.5325,63.493,18.2612,-1.8264796034859028
40,68.3608,56.9915,63.736,18.2429,-1.3894469468672077
45,68.6831,57.3152,63.936,18.0791,-0.8308175254348806
50,68.4805,57.5768,64.407,17.7594,-0.1669529272253444
55,68.663,57.787,64.699,17.8294,0.005481648074994036
60,68.9905,58.2307,64.703,17.5618,0.6803058275064091
65,68.8315,58.614,64.826,17.7438,0.5720125775689001
70,68.9666,58.841,64.931,17.3761,1.267549299183362
75,69.0126,58.7462,64.647,17.4075,1.0888336212558887
80,69.0926,58.9916,64.938,17.8469,0.723037983189063
85,69.0572,59.2664,65.028,17.1464,1.8314295062473243
90,69.3803,59.4231,65.395,17.2828,1.9722618729871224
95,69.1789,59.4817,65.218,16.7753,2.5560706781410207
100,69.1247,59.5362,65.036,17.0681,2.077589917361348
105,69.1109,59.7073,65.389,16.9568,2.4379077679085417
110,69.0233,59.7143,65.198,16.8689,2.453852446219976
115,69.3297,59.737,65.122,16.7604,2.6974600388633863
120,69.2474,60.1016,65.539,16.6501,3.134680815294287
125,69.3263,60.065,65.59,16.7147,3.079831449759844
130,69.2885,59.9515,65.503,16.6422,3.085932010971528
135,69.4111,60.0458,65.612,16.8459,2.929918426527258
140,69.2658,60.1208,65.446,16.6983,3.044930021589898
145,69.3855,60.1055,65.72,16.739,3.1365198425796366
150,69.3315,59.9099,65.858,16.9717,2.7690722272412667
155,69.2468,60.1529,65.596,16.4269,3.488538879926754
160,69.3612,60.1242,65.785,16.5928,3.364486951130034
165,69.257,60.1543,65.632,16.4397,3.4895252986662637
170,69.153,60.2515,65.304,16.5697,3.177705806922974
175,69.1447,60.285,65.892,16.4427,3.600591000693054
180,69.2869,60.3218,65.611,16.4273,3.5770945848531537
185,69.3643,60.4224,65.526,16.2416,3.8707607590714828
190,69.3016,60.3196,65.885,16.4974,3.5940144439911066
195,69.2679,60.3513,65.619,16.4694,3.5265736505163474
200,69.2104,60.3499,65.68,16.4992,3.4876210253788646
205,69.2242,60.3725,65.607,16.3021,3.7468141567929893
210,69.1401,60.245,65.867,16.5131,3.4747676122139137
215,69.1847,60.4396,65.765,16.3582,3.744513736819803
220,69.2792,60.4579,65.663,16.5255,3.513404947125598
225,69.1446,60.3742,65.63,16.3784,3.6209647219571637
230,69.0732,60.4227,65.668,16.4991,3.4613025448413213
235,69.1224,60.4026,65.716,16.2743,3.80347904543483
240,69.0601,60.4079,65.846,16.4383,3.6064119819725606
245,69.1007,60.4808,65.544,16.4022,3.5800742639471714
250,69.2132,60.4848,65.694,16.3605,3.741693143696076
255,69.1353,60.4389,65.678,16.3642,3.682624951597872
260,69.1785,60.5143,65.813,16.3844,3.755159098683139
265,69.0926,60.4262,65.721,16.3667,3.675378502855847
270,69.1619,60.4684,65.677,16.2886,3.809202248891318

BEST(epoch 185),69.3643,60.4224,65.526,16.2416,3.8707607590714828
