epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.6195,8.5249,33.11,59.4774,-115.05383050574085
0,0.5673,5.5478,35.154,59.7705,-116.60718057070336
5,21.8612,38.8503,55.196,24.2361,-37.771102940551394
10,58.1018,49.705,58.36,22.2918,-15.935330850187132
15,63.3179,52.8685,60.049,20.6278,-9.725864781397414
20,65.2351,54.0614,61.388,19.3116,-6.163179169813278
25,66.8315,55.4613,62.254,18.9037,-4.089547959614221
30,67.4006,56.2714,63.003,18.6498,-2.8972898945915184
35,67.789,56.4384,63.368,18.8583,-2.829118057656292
40,67.8338,57.1693,63.471,18.2334,-1.6067382796689365
45,67.9524,57.6483,63.959,18.0038,-0.854168481060272
50,68.1123,57.7433,64.023,17.8817,-0.5608129431723815
55,68.3479,57.8167,64.298,18.0098,-0.5114960013673139
60,68.4672,57.9806,64.138,17.9516,-0.38414244319574425
65,68.2206,58.3157,64.672,17.758,0.1428554898915668
70,68.5666,58.737,64.095,17.6972,0.2948577915352615
75,68.4362,58.8483,64.548,17.4326,0.8410323128989811
80,68.2501,58.4008,64.591,17.581,0.40194765398353066
85,68.2583,58.8481,64.657,17.6524,0.5126958563267664
90,68.3563,58.8726,64.892,17.3293,1.1027642717494757
95,68.4538,59.132,64.497,17.3813,1.0130232913073924
100,68.5675,59.4239,64.894,17.4114,1.290457445989925
105,68.3976,58.9107,64.912,17.1542,1.3851265284485148
110,68.4571,59.4414,64.799,17.4179,1.2093222873087142
115,68.4533,59.1641,64.795,17.0076,1.6651765221361878
120,68.2959,59.0966,64.834,17.0632,1.5176665698964127
125,68.233,59.4788,65.066,16.9992,1.8306173924600166
130,68.2871,59.1565,64.856,17.3001,1.2178178717855865
135,68.4275,59.6378,64.894,17.0406,1.8405891173771698
140,68.1965,59.4953,65.136,16.8802,2.017322352060468
145,68.4345,59.3292,64.866,16.8817,1.9284527001463492
150,68.1233,59.6163,65.064,17.0571,1.7639658265990916
155,68.0555,59.695,64.989,17.2588,1.4598373655230412
160,68.1734,59.7508,65.043,16.8131,2.167931056399773
165,68.0374,59.6886,64.965,16.6873,2.2359732041434164
170,68.1936,59.6689,64.987,16.6747,2.3124725362607106
175,68.2019,59.8589,65.366,16.7428,2.4494828538137186
180,68.2768,59.7376,65.062,16.9486,2.0201736564528563
185,67.9007,59.8301,65.117,16.9916,1.8798478671180914
190,68.1439,59.8053,65.054,16.6464,2.415283519825358
195,68.0634,59.8789,65.222,16.9327,2.0841099642588063
200,68.0144,59.7301,65.09,16.815,2.116633797271224
205,68.036,59.8658,64.951,16.7875,2.1619723529017456
210,67.9915,59.9471,65.228,16.675,2.445816479850927
215,67.9594,59.9565,64.949,16.8013,2.1500928989707337
220,68.0759,59.8517,65.112,16.6584,2.415281813004865
225,68.0223,59.9177,64.94,16.7391,2.2407513197272326
230,68.0123,59.8345,65.003,16.7678,2.1887782963302858
235,67.9811,59.8801,65.235,16.6941,2.3911360139219378
240,68.003,59.8748,65.016,16.6471,2.3747186206932813
245,67.9543,59.8679,65.034,16.7083,2.2758937723593395
250,67.9452,59.8749,65.137,16.7736,2.2257878941132403
255,67.9516,59.9506,65.071,16.7091,2.3219965632567443
260,67.8978,59.8774,65.098,16.6981,2.298564434512424
265,67.9855,59.8949,65.115,16.6924,2.3529967381782044
270,67.9528,59.9094,65.216,16.6725,2.4148689763538607
275,67.9903,59.9443,65.128,16.7387,2.3155236562430486
280,67.985,59.8756,65.093,16.72,2.2978011998419805
285,68.0298,59.8836,65.149,16.6719,2.4070658126900515
290,67.9431,59.8832,65.167,16.704,2.337214233464819
295,67.9282,59.922,65.122,16.6592,2.3916175437267007
299,67.9179,59.8749,65.155,16.6725,2.3635015619487723

BEST(epoch 175),68.2019,59.8589,65.366,16.7428,2.4494828538137186
