epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,4.2915,6.2914,37.336,42.2973,-89.73797018341564
5,20.5018,35.3343,54.45,24.8601,-40.863332687676106
10,58.179,48.8594,57.649,22.6779,-17.070197470098737
15,64.27,52.6426,59.613,21.0069,-10.16513163748237
20,66.3886,53.6639,60.483,19.6562,-6.736857999154092
25,67.0036,54.8879,61.698,19.3481,-5.098190891214715
30,67.9843,54.8327,62.263,18.6897,-3.613169880580801
35,68.4049,55.9276,62.898,18.7597,-2.8575024532145257
40,68.7197,56.2751,63.168,18.1673,-1.667716248316793
45,69.1729,56.9302,63.339,18.285,-1.3298689189923238
50,69.4634,57.0912,63.75,17.9983,-0.5931646294642171
55,69.5933,57.2964,63.267,18.0679,-0.7525033097543576
60,69.6773,57.7049,63.921,18.1877,-0.4607913518007566
65,69.9917,57.8584,64.639,17.4695,1.0051768667263075
70,70.0515,58.1439,64.391,17.7476,0.6563381929251608
75,69.921,58.403,64.146,17.6752,0.7148778677088973
80,69.9657,58.3352,64.81,17.6084,1.0633068859793693
85,70.1558,58.6441,64.775,17.3144,1.6536966726950542
90,70.1236,58.764,64.781,17.0761,2.0240512466883605
95,70.1436,58.8701,65.198,17.2085,2.0573266320943686
100,70.3244,59.0644,64.676,17.3156,1.8447132032127156
105,70.2158,58.9416,64.802,17.3161,1.8045709784632467
110,70.1541,59.1575,64.974,16.8859,2.536238389982025
115,70.3588,59.1813,65.411,17.1278,2.4606753731835243
120,70.3774,59.3274,65.21,17.1854,2.3658448845900772
125,70.3282,59.3192,65.211,17.2957,2.1911846151195067
130,70.5096,59.509,65.094,16.9337,2.791983005813253
135,70.3156,59.4689,65.266,16.9062,2.810857219310261
140,70.3237,59.4345,65.521,16.821,3.020759791340548
145,70.4485,59.4953,65.425,16.9314,2.899643597360642
150,70.2657,59.6044,65.4,16.8332,3.0022819488016417
155,70.5107,59.7547,65.437,16.7317,3.31013073527596
160,70.4421,59.4302,65.272,16.8219,2.961973323993993
165,70.4003,59.6684,65.582,16.7194,3.309479085580638
170,70.3609,59.7852,65.195,16.7893,3.089555713637394
175,70.3545,59.7891,65.203,16.7916,3.0887573947279674
180,70.3626,59.8658,65.666,16.7863,3.315751665537049
185,70.1145,59.7298,65.428,16.6226,3.3008772462425577
190,70.4334,59.7417,65.31,16.542,3.4891195754261735
195,70.3835,60.0005,65.656,16.9887,3.0923116796805927
200,70.4579,59.939,65.51,16.962,3.073764460841482
205,70.3425,59.8299,65.214,16.5852,3.3923198090178492
210,70.2297,59.9159,65.593,16.6911,3.38971421644112
215,70.2994,60.0018,65.232,16.4577,3.6302771179410063
220,70.3172,59.8893,65.323,16.5619,3.483007720745157
225,70.4433,59.9763,65.507,16.4981,3.7275693480970262
230,70.4137,60.0188,65.333,16.4932,3.6707650239700214
235,70.4555,59.967,65.392,16.6198,3.512932497973167
240,70.4133,59.8824,65.394,16.6636,3.4029510008905883
245,70.4503,59.992,65.488,16.5785,3.617039555677209
250,70.4983,59.9569,65.5,16.5271,3.6970444350185607
255,70.4673,60.003,65.484,16.5842,3.6182697844064435
260,70.3636,60.0138,65.41,16.487,3.689610581148165
265,70.4126,60.0672,65.42,16.5658,3.6237760984254783
270,70.3662,60.0608,65.347,16.5155,3.6446406920132577
275,70.3458,60.0643,65.349,16.5726,3.5598293934814604
280,70.393,60.0561,65.338,16.5316,3.6267050406223764
285,70.3615,60.0992,65.403,16.5614,3.616991274737808
290,70.4004,60.0507,65.429,16.5068,3.698267244553484
295,70.3903,60.0451,65.477,16.5313,3.6774113517494875
299,70.3772,60.0307,65.465,16.6358,3.516532811679611

BEST(epoch 225),70.4433,59.9763,65.507,16.4981,3.7275693480970262
