epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
0,0.6485,111.8096,3053.5641,-159168.18630124952
5,1.1022,43.6994,3053.3509,-159057.87074118116
10,2.3846,41.248,3052.6046,-159014.39197729676
15,3.5962,37.4269,3052.764,-159016.15547992257
20,8.7052,34.2885,3051.0709,-158919.22942011297
25,12.6904,32.459,3049.7726,-158845.68681956298
30,15.9188,31.1245,3048.6242,-158781.29042113977
35,19.1072,30.5906,3047.7644,-158733.1198782978
40,22.4513,29.9761,3047.8169,-158732.22032102288
45,23.3887,29.4289,3043.726,-158517.58985776902
50,25.2325,29.053,3044.1142,-158535.75118252693
55,27.0556,28.7311,3043.5707,-158505.4818028702
60,28.8203,28.4371,3041.208,-158380.55079928486
65,30.2639,28.0762,3040.6913,-158351.931850514
70,31.6505,27.9665,3039.7277,-158300.44813399328
75,32.9978,28.0121,3038.2204,-158220.90430188147
80,33.7524,27.6423,3036.9878,-158155.55096503018
85,34.4615,27.5236,3036.7464,-158142.22432688467
90,35.3379,27.3291,3036.8396,-158146.07758615172
95,35.8374,27.2925,3032.3582,-157912.20862930003
100,36.1606,27.2952,3028.5246,-157712.28085413724
105,36.7131,26.9626,3027.5921,-157662.7774327332
110,37.1651,27.0278,3028.0662,-157687.19411352611
115,37.1979,26.7914,3029.4665,-157759.7564527636
120,37.6401,26.6832,3024.9701,-157525.04932873932
125,37.6651,26.5271,3025.8934,-157572.89084284648
130,37.9831,26.5328,3026.1927,-157588.2268935642
135,38.1913,26.4638,3021.8646,-157362.53416225183
140,38.3909,26.4136,3022.6226,-157401.77680663858
145,38.2916,26.3054,3026.3725,-157597.00850872134
150,38.3398,26.248,3018.8835,-157206.8336039386
155,38.4929,26.1484,3020.0112,-157265.2978993314
160,38.325,26.1761,3019.9109,-157260.25181773372
165,38.5951,26.0369,3010.647,-156777.33353924015
170,38.7682,26.0168,3012.1725,-156856.61555234008
175,38.6222,25.9917,3012.0628,-156850.98530754907
180,38.8032,25.9604,3018.4759,-157184.80708950045
185,38.8617,25.9123,3010.7397,-156781.7622344975
190,38.8769,25.9566,3011.9956,-156847.225515457
195,38.9033,25.835,3009.2752,-156705.33990518856
200,39.0106,25.8673,3013.1675,-156908.02274937456
205,38.948,25.8286,3002.7003,-156362.85125501227
210,38.9518,25.8358,3010.8019,-156784.8169207254
215,39.1614,25.7626,3013.6999,-156935.4763214951
220,39.1613,25.7299,3000.9584,-156271.80915862948
225,39.1519,25.7413,3012.7918,-156888.15632669057
230,39.1502,25.7155,3014.2155,-156962.27132223189
235,39.1657,25.701,3004.8889,-156476.47715349935
240,39.1475,25.6848,3013.9039,-156945.9998187239
245,39.0225,25.7454,3007.6753,-156621.78401054122
250,39.1266,25.7,3005.1858,-156491.97130631845
255,39.2179,25.6598,3008.3541,-156656.85372760854
260,39.1845,25.6961,3007.4055,-156607.52754328772
265,39.1552,25.6675,3009.4406,-156713.5048577844
270,39.1111,25.6585,3008.807,-156680.5279596323
275,39.1992,25.6403,3016.4007,-157075.93451398215
280,39.1884,25.6427,3012.2432,-156859.41039454105
285,39.1562,25.6182,3010.7384,-156781.02624518442
290,39.1431,25.6508,3010.3973,-156763.31867037484
295,39.1924,25.624,3008.7133,-156675.53101932976
299,39.1156,25.6448,3012.9943,-156898.59293025787
0,0.6551,111.8075,3053.564,-159168.17263340883
5,1.8103,43.7272,3053.3431,-159056.92418585034
10,5.0956,39.4596,3051.9722,-158976.63616587466
15,10.8579,35.8408,3050.6057,-158895.48767017593
20,17.881,34.0264,3048.7388,-158789.86129602126
25,22.2881,33.0025,3047.9541,-158743.89179510585
30,24.8111,31.8019,3046.8147,-158680.73689188765
35,27.6599,31.072,3045.5045,-158609.10206153177
40,30.2002,30.5369,3044.1341,-158534.86747460245
45,31.0165,29.9866,3042.9851,-158473.55577405353
50,32.9701,29.7575,3041.1959,-158378.43384340146
55,33.8781,29.9394,3040.8888,-158361.95845178294
60,34.5446,29.2202,3039.1724,-158270.9724028217
65,35.8489,29.1331,3036.7816,-158145.25563604364
70,36.494,28.9577,3036.6117,-158135.6231555198
75,37.2829,28.9159,3034.2209,-158010.3947588871
80,37.7752,28.5294,3032.457,-157917.56040067793
85,38.0595,28.4758,3032.0996,-157898.63490639834
90,38.6095,28.2276,3030.6577,-157822.7247636101
95,39.0286,28.2478,3029.6143,-157768.0666617709
100,39.1013,28.1271,3027.3273,-157648.7173078408
105,39.3986,28.0125,3025.4168,-157548.80200719496
110,39.5036,27.8966,3025.2494,-157539.82896594072
115,39.6235,28.097,3025.508,-157553.49021106286
120,39.8627,27.8955,3023.1387,-157429.60061304437
125,40.1009,27.6532,3020.6913,-157301.58491903858
130,40.1824,27.5941,3020.6743,-157300.54690766355
135,40.3283,27.636,3020.3305,-157282.58182241433
140,40.4969,27.5688,3017.7885,-157149.95021719608
145,40.6412,27.4062,3017.4284,-157130.84072173169
150,40.9074,27.3648,3014.6123,-156983.89048218576
155,40.736,27.2636,3015.2482,-157017.0039650371
160,40.9217,27.3577,3016.316,-157072.60282777433
165,41.1907,27.182,3013.5065,-156925.7991503175
170,41.0704,27.1358,3011.4693,-156819.72658666692
175,41.1667,27.0954,3010.6533,-156777.08899268234
180,41.2687,27.0947,3012.6328,-156880.1032943615
185,41.3208,27.02,3009.5308,-156718.3896696705
190,41.2268,26.9729,3007.513,-156613.3046504195
195,41.3499,26.9143,3007.0389,-156588.4259606208
200,41.3836,26.9354,3007.7036,-156623.04873765993
205,41.3004,26.9408,3006.2117,-156545.42167365042
210,41.413,26.8948,3007.1169,-156592.40842032366
215,41.4206,26.8665,3007.4756,-156611.04341186825
220,41.4895,26.8046,3002.6805,-156361.15229432555
225,41.6108,26.814,3007.2697,-156600.08730164522
230,41.4962,26.7731,3006.4082,-156555.2521301393
235,41.5393,26.7462,3005.4662,-156506.11525136154
240,41.567,26.7281,3006.2155,-156545.09231265684
245,41.508,26.7817,3003.3755,-156397.30180908897
250,41.557,26.7633,3004.0237,-156430.99534385916
255,41.5634,26.7246,3003.8253,-156420.60060226437
260,41.6063,26.7658,3001.7147,-156310.69812870873
265,41.6134,26.7312,3004.8117,-156471.94417956445
270,41.5458,26.7315,3005.1201,-156488.0625474692
275,41.6135,26.6977,3006.8373,-156577.39548342925
280,41.6577,26.7275,3005.2123,-156492.7670672122
285,41.6311,26.6799,3005.0558,-156484.56876215778
290,41.6313,26.7086,3005.6548,-156515.80816334984
295,41.5992,26.7051,3004.1037,-156435.04294819108
299,41.5511,26.7205,3005.0798,-156485.9432802423
0,0.6551,111.8062,3.0236,-285.8582468902072
5,1.7431,43.6179,2.7973,-174.22692771819152
10,6.2152,38.8669,2.2712,-136.2642273073797
15,12.6287,35.1191,1.2369,-71.6966249055313
20,20.0295,33.0714,1.0477,-52.80218444822944
