epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.51,1.9923,24.098,58.8868,-134.61899335439895
5,49.8447,42.8046,55.841,23.7659,-35.17944259166436
10,67.9362,54.2287,60.085,22.1137,-20.74488821700188
15,69.9628,56.3866,61.961,20.3989,-15.815124188675917
20,71.3034,58.5164,62.873,19.449,-12.708146502401707
25,72.208,60.1551,63.45,19.2487,-11.259259623311205
30,72.3826,61.159,64.393,18.5677,-9.378049146212694
35,72.6859,61.5528,65.147,18.0135,-7.95910734832731
40,72.5508,61.7869,65.31,17.9843,-7.8074357682327395
45,72.7727,62.2575,65.11,17.7161,-7.200107544858753
50,72.8497,62.5728,65.357,17.5754,-6.738086127888675
55,72.8806,62.7149,65.055,17.5506,-6.74647287021137
60,72.8941,62.961,65.162,17.7181,-6.879264956334088
65,72.6098,63.0245,65.936,17.3977,-6.1452567497591115
70,72.7623,62.9125,65.934,17.3055,-5.990114434981402
75,73.016,63.1154,65.598,17.1598,-5.720966821006456
80,72.8371,63.2671,65.014,17.193,-5.991995816752062
85,72.9249,63.5706,65.498,17.0657,-5.464619649320533
90,72.8107,63.5295,65.632,17.0527,-5.446722421070205
95,72.8284,63.6764,66.334,17.0676,-5.149326159758718
100,72.7667,63.4398,66.128,17.0457,-5.299741179262448
105,72.4246,63.567,65.822,16.854,-5.168084780332123
110,72.812,63.7282,65.948,16.9273,-5.052377055822018
115,72.6855,63.8557,65.682,16.9381,-5.161515208645379
120,72.7292,63.7569,66.311,16.8203,-4.761723060501983
125,72.6456,63.8738,66.144,16.9038,-4.941212273805511
130,72.5534,63.8927,66.288,16.7292,-4.629677371311437
135,72.5253,63.8413,66.367,16.7084,-4.595442656686904
140,72.6918,63.9649,66.538,16.7794,-4.545499919607421
145,72.6444,64.0434,66.254,16.6749,-4.46840381744249
150,72.769,63.9733,66.35,16.7388,-4.52151404696624
155,72.4881,63.9405,66.198,16.6322,-4.510145460301909
160,72.5707,63.9669,66.304,16.764,-4.646155466048239
165,72.5319,64.0362,66.29,16.6732,-4.491691008447737
170,72.6009,64.0705,66.165,16.6212,-4.418906430303808
175,72.4229,64.0615,66.09,16.5755,-4.434530354537591
180,72.4684,64.1049,66.386,16.5904,-4.317601773911263
185,72.3919,64.0622,66.085,16.5699,-4.437205483853801
190,72.3675,63.9533,66.21,16.5837,-4.462090176461822
195,72.4177,63.94,66.1,16.5219,-4.392040568368554
200,72.4344,64.0521,66.213,16.5779,-4.3925948146037825
205,72.365,64.0071,66.385,16.5035,-4.248643766767242
210,72.265,64.0186,66.283,16.4904,-4.293613022607171
215,72.3827,64.1207,66.276,16.5815,-4.366017368480584
220,72.2132,63.9918,66.396,16.4825,-4.265988033580529
225,72.2319,64.0106,66.202,16.468,-4.301381178416565
230,72.2073,63.9923,66.246,16.4806,-4.320268236036892
235,72.3222,64.1124,66.21,16.5024,-4.2859905872688815
240,72.2137,64.0126,66.246,16.484,-4.316002833691322
245,72.1682,64.0177,66.054,16.4623,-4.365146745103042
250,72.2493,64.0099,66.212,16.4772,-4.307078906838953
255,72.1963,64.0654,66.227,16.4504,-4.254720001159945
260,72.2254,64.0418,66.208,16.4516,-4.263111348029245
265,72.1765,64.0524,66.268,16.4927,-4.318967731642365
270,72.2569,64.0336,66.245,16.468,-4.268624246503353
275,72.2069,64.0291,66.336,16.4998,-4.304069266873597
280,72.2546,64.0647,66.19,16.4746,-4.288661488497942
285,72.2258,64.048,66.248,16.4776,-4.287669995207137
290,72.2451,64.033,66.166,16.4699,-4.305038993693741
