epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.4915,1.9569,23.647,57.9344,-131.1372906088864
5,33.2537,26.9675,48.026,23.6782,-42.4782593433626
10,47.3598,29.6402,49.966,22.0292,-32.49802017762639
15,47.4531,32.0375,52.036,20.2388,-27.588593246059972
20,53.4226,35.8058,54.341,19.6594,-21.65775931755171
25,56.4457,39.5328,55.38,19.065,-17.340327780897542
30,52.3293,38.1938,54.76,18.672,-19.153666313961924
35,55.4398,40.2261,55.198,18.0964,-15.907162019327203
40,58.1951,42.911,56.683,17.9589,-12.742633726558017
45,57.2062,43.2334,57.18,17.7768,-12.458788877229205
50,57.0197,42.0329,56.623,17.7783,-13.345004807347918
55,59.5254,43.4643,57.263,17.6279,-11.211483073734616
60,58.543,43.3729,57.328,17.5336,-11.444612730579221
65,58.4223,42.8999,56.72,17.5056,-11.925534903103108
70,57.1624,42.8812,56.86,17.2529,-11.943107858596616
75,60.8845,47.9728,58.511,17.0996,-7.151756369076491
80,59.2187,44.9422,57.753,17.0839,-9.536160932582947
85,61.4404,48.483,59.235,16.997,-6.2347934514903836
90,60.2571,46.8302,58.557,16.9484,-7.6824308812187745
95,62.0326,48.108,58.796,16.9444,-6.293883097306566
100,61.7312,47.0339,58.97,16.905,-6.79544305330875
105,60.4347,46.4782,58.447,16.7996,-7.595955643977612
110,61.5278,48.5529,59.171,16.8861,-6.017677976114899
115,60.5967,47.2642,58.568,16.8198,-7.134849145413296
120,63.0004,50.3131,59.979,16.716,-4.007849632978709
125,62.2362,48.6518,58.994,16.6715,-5.436417514495346
130,61.8483,49.5686,59.487,16.5931,-4.806031130835533
135,61.1534,49.4473,59.32,16.5659,-5.1491140039579335
140,60.8025,47.9337,58.765,16.6112,-6.318201907649826
145,61.1963,48.2248,59.135,16.5357,-5.757174458746536
150,62.1117,48.5716,59.485,16.5845,-5.181258673242146
155,62.2031,49.5324,59.271,16.5361,-4.689565466554593
160,63.256,50.4837,60.108,16.5415,-3.498267402351122
165,62.5541,50.3468,59.533,16.4695,-3.947896979295076
170,63.3848,51.3722,59.979,16.4603,-2.940662249497798
175,62.8364,51.3647,59.889,16.3778,-3.0538979252919356
180,64.5547,52.9191,60.478,16.3975,-1.4456377280968915
185,61.9379,49.8363,59.399,16.4724,-4.485890092799059
190,63.3792,51.6729,60.057,16.3719,-2.6231045602928176
195,63.3491,51.8541,60.259,16.3121,-2.3675481163762835
200,64.1814,52.2031,60.28,16.3753,-1.9797273538663092
205,63.3941,51.9049,60.45,16.3762,-2.349692817665696
210,64.0008,52.6134,60.393,16.3007,-1.681471453319692
215,64.0737,52.2773,60.351,16.3169,-1.86132488679758
220,64.1281,52.5651,60.412,16.3246,-1.6879368226949674
225,63.7593,52.0618,60.342,16.3115,-2.0785133200710875
230,63.641,51.9838,60.388,16.3004,-2.123965153229903
235,63.5178,51.8499,60.013,16.3151,-2.412742129483203
240,63.5061,51.9477,60.211,16.3096,-2.279224438899194
245,64.1781,52.8297,60.432,16.2772,-1.4565068402418926
250,63.7889,52.3818,60.255,16.2852,-1.9053004568241174
255,63.6708,52.2693,60.306,16.2698,-1.958588766925494
260,64.0273,52.4141,60.249,16.2713,-1.7811255332159857
265,63.7252,52.4842,60.32,16.2772,-1.8395951479604284
270,64.1719,52.5507,60.338,16.2713,-1.6241033165145267
275,63.9109,52.4463,60.432,16.303,-1.7840426367610975
280,64.0193,52.3417,60.244,16.2845,-1.8425081886366559
285,63.862,52.4413,60.31,16.2779,-1.8148261400649779
290,63.9428,52.5607,60.32,16.2789,-1.7240145545037684
295,64.0119,52.5525,60.306,16.2744,-1.7008765015525764
299,64.1641,52.4908,60.344,16.2712,-1.653587968115539

BEST(epoch 180),64.5547,52.9191,60.478,16.3975,-1.4456377280968915
