epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.5115,1.9927,24.118,58.8921,-134.6194716970436
5,49.5905,42.7198,55.802,23.7913,-35.34958242027617
10,68.2134,54.1459,60.08,22.0876,-20.645626578553372
15,69.9201,56.3953,61.842,20.5036,-16.038414598568846
20,71.2836,58.4276,62.934,19.3119,-12.504762248033332
25,72.1621,60.1451,63.471,19.2157,-11.217077145591626
30,72.2405,61.2363,64.299,18.5808,-9.451138443896522
35,72.5451,61.6001,64.964,18.039,-8.096037248645034
40,72.5184,62.1067,65.158,18.0525,-7.8635561052915675
45,72.8685,62.258,65.324,17.7466,-7.138474435221992
50,72.8149,62.6633,65.361,17.5278,-6.637195860287562
55,72.8422,62.8716,65.237,17.5503,-6.631955388820235
60,72.9205,62.8389,65.313,17.6979,-6.828203757319729
65,72.6057,63.1589,65.899,17.2951,-5.944473209701935
70,72.7954,62.9955,65.891,17.3774,-6.079721268023295
75,73.0195,62.9552,65.724,17.126,-5.679105585867105
80,72.9224,63.2439,65.011,17.1814,-5.955388918088966
85,72.8255,63.5266,65.476,17.0821,-5.548150601241162
90,72.8308,63.5476,65.657,17.0312,-5.389471546333604
95,72.8524,63.6932,66.297,17.1037,-5.20700187085411
100,72.875,63.4418,66.094,17.0098,-5.218513501577177
105,72.3745,63.5851,65.977,16.8689,-5.144111596058092
110,72.8022,63.7888,65.885,16.8876,-4.992168366050553
115,72.7148,63.8167,65.671,16.9728,-5.226609736856794
120,72.6361,63.8134,66.26,16.7852,-4.733157387523476
125,72.6185,63.8957,66.225,16.8959,-4.899041251351602
130,72.7553,64.0249,66.163,16.738,-4.574556719349511
135,72.5942,63.8032,66.405,16.7154,-4.584540076414563
140,72.7278,64.005,66.547,16.7944,-4.539462609048195
145,72.587,64.0146,66.265,16.6836,-4.507891302727186
150,72.7646,63.9476,66.404,16.7276,-4.494589569571671
155,72.5553,63.9781,66.2,16.6507,-4.503114332349643
160,72.6464,64.0346,66.376,16.7605,-4.563642356960535
165,72.6102,64.1221,66.284,16.6594,-4.41380284233817
170,72.6383,64.0462,66.173,16.6229,-4.41565339829651
175,72.3888,64.1488,66.039,16.5784,-4.436301231638491
180,72.5767,64.1323,66.387,16.5642,-4.229438306360183
185,72.3654,64.171,66.164,16.581,-4.393403552256257
190,72.4307,64.0482,66.336,16.5719,-4.34001589647673
195,72.4391,64.058,66.095,16.5143,-4.330199170878712
200,72.4266,64.1067,66.267,16.5755,-4.350669779403205
205,72.3462,64.043,66.487,16.497,-4.192959222977029
210,72.2844,64.0792,66.281,16.4861,-4.258264238018309
215,72.45,64.1732,66.323,16.574,-4.294800134963428
220,72.2572,64.0811,66.383,16.4825,-4.2228035269437845
225,72.2737,64.066,66.22,16.47,-4.263422227334832
230,72.2299,64.0369,66.295,16.4579,-4.241383323039884
235,72.3991,64.1636,66.228,16.499,-4.229486050342361
240,72.299,64.0864,66.254,16.4969,-4.278187377286768
245,72.2191,64.0997,66.074,16.4523,-4.294135348862425
250,72.2869,64.0599,66.223,16.4709,-4.2617579454036525
255,72.2285,64.1126,66.217,16.4541,-4.236096676163805
260,72.2603,64.1165,66.276,16.4505,-4.196598775547704
265,72.2236,64.1146,66.285,16.4877,-4.265820417651494
270,72.2888,64.0873,66.256,16.4671,-4.23245833603449
275,72.238,64.091,66.34,16.4918,-4.2562378787717705
280,72.3009,64.1217,66.225,16.4719,-4.234765230767044
285,72.2842,64.0985,66.272,16.4662,-4.222354500206472
290,72.2953,64.0954,66.197,16.4592,-4.23644065397116
295,72.2789,64.1053,66.201,16.4702,-4.254276460290642
299,72.3137,64.1,66.235,16.4567,-4.210600263749972

BEST(epoch 205),72.3462,64.043,66.487,16.497,-4.192959222977029
