epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
0,0.5821,77.3612,3.0384,-235.81827537539917
5,3.2607,47.9536,2.9419,-185.9484994149831
10,7.8647,39.1855,2.1335,-127.58053837202442
15,14.1555,37.5411,1.0787,-65.40552471833276
20,20.2271,36.2661,1.022,-55.639916900020644
25,23.8412,35.7859,1.017,-51.72051428250398
30,26.1346,35.4355,0.9401,-45.348613087622596
35,28.3006,35.0421,0.9206,-41.991641695507845
40,29.5301,34.8766,0.9094,-40.16320284087245
45,30.4553,34.6806,0.9119,-39.24958229712622
50,31.2847,34.4522,0.9028,-37.766713451128716
55,31.9707,34.3659,0.9132,-37.617588845514284
60,32.5046,34.3847,0.89,-36.00549395256913
65,33.0085,34.2003,0.8728,-34.43387394922666
70,33.2329,34.1291,0.8727,-34.141361733640785
75,33.5506,34.1033,0.8647,-33.429068962645076
80,33.8516,33.8692,0.8637,-32.79073601773465
85,34.299,33.8394,0.8839,-33.42681800390094
90,34.3491,33.6645,0.8549,-31.629958180451087
95,34.6304,33.7073,0.8625,-31.855019097508485
100,34.8055,33.6435,0.8447,-30.69695347212559
105,34.9752,33.6135,0.8523,-30.907882260051508
110,35.1466,33.4191,0.8791,-31.873251447178646
115,35.1132,33.3995,0.8492,-30.323615925420498
120,35.2126,33.3662,0.8466,-30.059124000974055
125,35.4395,33.3025,0.8546,-30.19496075316491
130,35.4968,33.2144,0.8627,-30.439641592575537
135,35.5535,33.1512,0.8725,-30.808994930481987
140,35.601,33.0995,0.8588,-29.985468700123523
145,35.7309,33.0721,0.8421,-28.974261171160794
150,35.6734,32.9791,0.8647,-30.0569522758709
155,35.7546,33.0819,0.8545,-29.61126926618685
160,35.773,33.0092,0.8566,-29.599444394824598
165,35.8357,32.9589,0.8394,-28.584213663690033
170,35.8787,32.893,0.8404,-28.50511333065428
175,35.944,32.876,0.8351,-28.152399318384386
180,35.9001,32.8483,0.8453,-28.676478753303925
185,35.9857,32.7865,0.8429,-28.392303049255336
190,35.9606,32.7947,0.8466,-28.61641524650297
195,35.8961,32.7899,0.8406,-28.35158814820625
200,36.0625,32.7629,0.8445,-28.377946055499265
205,36.0468,32.7666,0.8347,-27.888627874061058
210,36.0973,32.7661,0.8376,-27.99668868547433
215,36.1471,32.7388,0.833,-27.67799217026493
220,36.0752,32.6711,0.8416,-28.08411790186753
225,36.1158,32.6604,0.8405,-27.978326865660836
230,36.1094,32.6721,0.836,-27.76748957105286
235,36.1958,32.6808,0.8445,-28.149498053997046
240,36.1274,32.6494,0.8392,-27.88552231613646
245,36.1596,32.6669,0.8505,-28.46976313288168
250,36.1557,32.6226,0.838,-27.76127437259397
255,36.1691,32.6394,0.8483,-28.308123522452778
260,36.1071,32.6365,0.8432,-28.090616426200796
265,36.1249,32.6223,0.8447,-28.1331016969078
270,36.1275,32.6218,0.8359,-27.674474462323133
275,36.1116,32.6172,0.8421,-28.00194763957968
280,36.1433,32.6277,0.8382,-27.789201832708926
285,36.1671,32.6421,0.8381,-27.785403259157178
290,36.1364,32.6345,0.846,-28.208705458838747
295,36.1711,32.6316,0.84,-27.86529076665563
299,36.1679,32.63,0.8422,-27.97953533108358

BEST(epoch 270),36.1275,32.6218,0.8359,-27.674474462323133
