epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.6599,3.4925,36.026,83.1705,-149.23507253883764
10,56.6144,47.9443,54.533,23.3833,-20.252344703333023
20,65.1845,52.6348,57.074,21.6913,-11.798300963364424
30,67.2114,53.8305,59.057,19.9174,-7.298704672329801
40,67.6639,54.9169,60.02,19.5745,-5.828657502151483
50,68.3741,55.5031,60.924,18.9875,-4.1487385937595445
60,68.6134,56.1932,61.147,18.6884,-3.2756211077351938
70,68.7745,56.5794,61.275,18.6021,-2.8884107759052178
80,69.057,56.9794,61.781,18.3799,-2.1098438061165274
90,69.347,57.1792,61.656,18.3885,-1.9834020484645651
100,69.2006,57.3369,61.655,18.1252,-1.6082936556599985
110,69.2544,57.4929,61.61,17.9647,-1.3200619160558813
120,69.5286,57.5449,61.779,17.9239,-1.072552824081318
130,69.3962,57.73,61.688,17.9468,-1.1154262115649285
140,69.5559,57.8314,61.808,17.8976,-0.8985266476673556
150,69.4808,57.7072,61.838,17.8105,-0.843395682055683
160,69.5468,57.8703,61.615,17.8863,-0.9478734275428536

BEST(epoch 150),69.4808,57.7072,61.838,17.8105,-0.843395682055683
