epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.4481,9.2436,33.481,56.3623,-110.34495223818756
5,18.8532,30.4147,52.567,26.1411,-45.999660690859834
10,51.5658,45.9436,55.511,23.5925,-22.83680986929802
15,60.8151,50.2567,56.784,22.3396,-15.401774031739837
20,64.0316,52.4003,57.831,21.4273,-11.650999460771008
25,65.4754,53.138,59.096,20.5707,-9.117229779385685
30,66.1922,53.9052,59.329,20.4943,-8.341185807936426
35,66.9245,54.1475,60.448,19.8127,-6.574057358119681
40,67.1828,54.5269,60.485,19.8772,-6.399718398426963
45,67.3883,54.7029,60.774,19.501,-5.61298052852372
50,67.4819,55.2966,61.177,19.2913,-4.885174491495557
55,67.7238,55.5874,61.376,19.2612,-4.5561378720353085
60,68.0531,55.6806,61.559,19.3015,-4.378715098590762
65,67.8497,56.036,61.303,18.9424,-3.913968764172457
70,68.2107,55.9239,61.724,18.9424,-3.6561357235174343
75,68.1488,56.1555,61.865,18.9318,-3.5143854321469075
80,68.1217,56.1174,61.851,18.8546,-3.4380582934491435
85,68.3277,56.5379,61.82,18.8129,-3.1461011645983112
90,68.2656,56.5303,61.759,18.6572,-2.980116068278227
95,68.4466,56.6149,61.947,18.814,-3.021398748715236
100,68.4833,56.7947,61.819,18.6285,-2.728419730706777
105,68.6705,56.5852,61.93,18.5195,-2.5472100844189836
110,68.291,56.9315,61.784,18.566,-2.6718088332326104
115,68.3389,56.8782,62.132,18.7365,-2.7731737787899946
120,68.4507,57.0722,62.094,18.5155,-2.3610531747475307
125,68.6996,56.8809,61.775,18.6295,-2.632199150780687
130,68.5139,57.2075,61.944,18.3604,-2.1272947036396626
135,68.5743,57.0178,62.091,18.4315,-2.2213796023884256

BEST(epoch 130),68.5139,57.2075,61.944,18.3604,-2.1272947036396626
